dish_id,method,gt_mass_g,gt_calories,gt_fat_g,gt_carb_g,gt_protein_g,pred_mass_g,pred_calories,pred_fat_g,pred_carb_g,pred_protein_g,ae_mass_g,ae_calories,ae_fat_g,ae_carb_g,ae_protein_g,num_food_codes,food_codes,description,error
dish_1558630325,DietAI24,269.00,751.54,58.08,46.56,27.08,227.00,334.63,21.38,30.51,10.38,42.00,416.91,36.69,16.06,16.70,3,42101000;75114000;63311000,"The image shows the food category of a mixed snack plate consisting of raw almonds, fresh mixed salad greens (including green and red leaf lettuce varieties), and a whole apple (appearing to be a Fuji",
dish_1558635489,DietAI24,74.00,78.51,1.78,16.28,2.29,432.00,444.96,15.12,78.24,13.74,358.00,366.45,13.34,61.96,11.44,2,75216135;75216135,"The image shows the food category of corn on the cob, specifically two cross-sectional slices of yellow corn, viewed from the cut end, revealing the cob and kernel arrangement.

Additional details inc",
dish_1558639526,DietAI24,78.00,31.98,0.16,7.80,0.70,120.00,108.00,3.22,20.02,1.08,42.00,76.02,3.06,12.22,0.38,1,73102241,"The image shows the food category of cooked carrots, specifically sliced and baby carrots that appear to be glazed or sauced, with a shiny coating visible on the pieces.

Additional details include co",
dish_1558641287,DietAI24,64.00,11.52,0.13,2.50,0.58,72.00,14.40,0.22,2.91,0.59,8.00,2.88,0.10,0.41,0.01,1,74101000,"The image shows the food category of cherry tomatoes (specifically grape tomatoes, small oval-shaped red tomatoes). Additional details include raw and uncut preparation; approximately 9 individual tom",
dish_1559157919,DietAI24,39.00,37.09,3.33,1.52,0.99,57.00,36.08,2.01,1.50,3.11,18.00,1.01,1.32,0.02,2.12,2,75113080;75147000,"The image shows the food category of a mixed green salad, including baby spinach leaves, arugula, fresh blueberries, and what appears to be a small amount of nuts (possibly walnuts).

Additional detai",
dish_1559239256,DietAI24,128.00,60.16,0.13,15.36,1.15,85.00,45.05,0.26,11.34,0.69,43.00,15.11,0.14,4.02,0.46,1,61100600,"The image shows the food category of a whole mandarin orange (clementine or tangerine), unpeeled, with a small stem end visible.

Additional details include fresh, raw fruit; not specified subcategory",
dish_1560203400,DietAI24,104.00,293.28,12.48,33.28,12.48,102.00,276.42,11.61,30.27,12.68,2.00,16.86,0.87,3.01,0.20,1,58106514,"The image shows the food category of **pizza — specifically a single square slice of pepperoni pizza**, featuring visible melted mozzarella cheese, tomato sauce, and four large pepperoni slices on a t",
dish_1560526514,DietAI24,224.00,183.25,8.40,26.03,3.42,370.00,413.90,23.28,48.63,4.97,146.00,230.65,14.88,22.59,1.55,3,75114000;63311050;71403030,"The image shows the food category of a mixed green salad with fruit and roasted potatoes, including visible ingredients of baby spinach, mixed greens (including red leaf lettuce), fresh strawberries, ",
dish_1560526552,DietAI24,319.00,359.24,21.78,28.02,14.59,105.00,210.00,16.65,1.73,13.37,214.00,149.24,5.13,26.29,1.23,1,32131090,"The image shows the food category of a breakfast plate, including scrambled eggs, roasted/home-style diced potatoes, fresh fruit (pineapple chunks and strawberries), and a mixed green salad (spinach a",
dish_1560801797,DietAI24,96.00,25.66,0.70,4.11,1.34,57.00,59.61,3.68,6.14,1.21,39.00,33.95,2.97,2.03,0.14,2,71401000;75214020,"The image shows the food category of mixed small food portions, including what appears to be roasted or fried potato wedges, raw cauliflower florets, and a small piece of dark-colored food (possibly a",
dish_1560801883,DietAI24,315.00,512.11,22.15,34.63,42.56,262.00,510.44,24.77,52.28,20.05,53.00,1.67,2.62,17.65,22.51,2,27341035;58106560,"The image shows the food category of a mixed plate meal, including pepperoni pizza, roasted or grilled chicken, roasted potatoes, cauliflower, sautéed mushrooms, and a small green salad with arugula.
",
dish_1560975628,DietAI24,296.00,348.27,12.46,32.35,27.61,1095.00,1489.14,71.85,140.71,71.55,799.00,1140.87,59.39,108.36,43.93,7,58130320;41812500;58161494;75117020;58130320;41812500;58161494,"The image shows the food category of a mixed plate meal, including: a green salad with leafy lettuce and dressing, a slice of cheese pizza or lasagna with tomato sauce and melted cheese, a stir-fried ",
dish_1561393764,DietAI24,182.00,280.80,20.10,5.52,19.07,535.00,818.25,51.66,42.46,45.27,353.00,537.45,31.56,36.94,26.20,4,32130440;13110100;32101000;32130440,"The image shows the food category of a breakfast plate consisting of scrambled eggs, crispy bacon strips, and roasted broccoli florets.

Additional details include home-style plating on a white square",
dish_1561405356,DietAI24,176.00,206.65,4.20,7.50,33.41,420.00,579.60,28.69,18.34,61.11,244.00,372.95,24.49,10.84,27.70,2,24123311;27440110,"The image shows the food category of a plated entrée consisting of sliced grilled or baked chicken breast with a chili-garlic or spicy sauce, steamed broccoli florets, and fresh arugula greens as a be",
dish_1561405411,DietAI24,282.00,332.06,8.51,25.68,37.23,300.00,331.20,10.29,49.84,11.13,18.00,0.86,1.78,24.16,26.10,2,56207160;41311030,"The image shows the food category of a grain and greens salad plate, featuring yellow couscous as the central component, arugula as the base green, chickpeas, diced red bell peppers, broccoli florets,",
dish_1561574815,DietAI24,89.00,74.85,6.64,3.25,1.65,174.00,90.48,5.95,8.87,2.49,85.00,15.63,0.69,5.63,0.83,1,75143100,"The image shows the food category of **garden salad**, including mixed greens (romaine and red leaf lettuce), cherry tomatoes, red onion slices, cucumber, and what appears to be crumbled cheese (possi",
dish_1561578839,DietAI24,214.00,362.15,14.81,43.35,14.90,691.00,940.06,35.16,106.45,49.41,477.00,577.91,20.35,63.09,34.51,3,58130011;58130310;58130011,"The image shows the food category of a plated meal consisting of lasagna (with visible tomato sauce and melted cheese on top), a green salad (arugula/mixed greens with black olives), and a roasted veg",
dish_1561661324,DietAI24,75.00,33.00,1.57,3.23,2.40,60.00,45.60,2.14,4.07,2.54,15.00,12.60,0.57,0.84,0.14,1,72116150,"The image shows the food category of **Caesar salad**, featuring chopped romaine lettuce, shaved or grated Parmesan cheese, and a light coating of dressing visible on the leaves.

Additional details i",
dish_1561662160,DietAI24,36.00,41.84,3.38,2.75,0.63,94.00,19.74,0.22,3.86,1.18,58.00,22.10,3.16,1.11,0.54,1,75143000,"The image shows the food category of mixed green salad, including red bell pepper pieces, dark leafy greens (such as red leaf lettuce or radicchio), lighter green lettuce, what appears to be couscous ",
dish_1561667238,DietAI24,165.00,268.80,12.34,15.25,23.48,664.00,858.82,49.22,48.53,55.18,499.00,590.02,36.87,33.28,31.69,2,27320320;27446362,"The image shows the food category of a mixed plate meal, including sliced roasted or grilled meat (likely pork), white rice, a Caesar salad with croutons and romaine lettuce, and what appears to be ad",
dish_1561741063,DietAI24,135.00,132.30,5.80,4.59,14.85,210.00,205.80,9.03,7.10,23.35,75.00,73.50,3.22,2.51,8.50,1,14201010,"The image shows the food category of cottage cheese, served in a white bowl with visible curds and a creamy white appearance.

Additional details include served plain with no visible toppings or mix-i",
dish_1561741090,DietAI24,221.00,161.54,5.98,11.47,15.54,331.00,207.14,4.62,19.73,22.13,110.00,45.60,1.36,8.26,6.59,2,63109010;14202010,"The image shows the food category of cantaloupe chunks served over what appears to be cottage cheese or rice, presented in a white bowl.

Additional details include fresh, uncooked cantaloupe cut into",
dish_1562009810,DietAI24,108.00,119.88,0.97,24.84,2.81,125.00,217.50,3.99,40.62,4.80,17.00,97.62,3.02,15.79,1.99,1,58150110,"The image shows the food category of **fried rice**, characterized by seasoned, lightly browned rice grains with visible small orange pieces (likely carrots) mixed throughout.

Additional details incl",
dish_1562168648,DietAI24,32.00,41.59,2.23,4.92,1.02,30.00,3.90,0.07,0.68,0.40,2.00,37.69,2.16,4.25,0.62,1,75113060,"The image shows the food category of **salad greens**, specifically a small portion of loose-leaf lettuce with visible green and reddish-brown leaf edges, served plain on a white square plate.

Additi",
dish_1562168800,DietAI24,242.00,237.52,9.34,36.31,3.83,748.00,1368.92,16.74,297.53,9.01,506.00,1131.40,7.40,261.22,5.19,6,71104070;91101010;63107010;63223020;92101000;71104070,"The image shows the food category of a mixed plate meal, including roasted potato wedges, fresh strawberries, fresh blueberries, cubed honeydew melon, and leafy green lettuce.

Additional details incl",
dish_1562617703,DietAI24,110.00,179.63,6.49,26.95,4.51,0.00,0.00,0.00,0.00,0.00,110.00,179.63,6.49,26.95,4.51,0,,"The image shows the food category of [chips or crackers with a dip or spread, appearing to be tortilla chips or similar crispy snack pieces in a small white bowl, with what appears to be a chocolate o",No valid food codes found
dish_1562691032,DietAI24,415.00,419.68,22.04,39.06,17.95,360.00,530.40,35.95,26.38,25.99,55.00,110.72,13.91,12.68,8.04,2,32130440;71403500,"The image shows the food category of a breakfast plate, including scrambled eggs, roasted home fries (potato chunks with what appears to be a sauce or seasoning), roasted broccoli, fresh strawberries,",
dish_1562703447,DietAI24,259.00,384.43,17.96,37.65,18.51,159.00,393.83,18.13,41.47,16.56,100.00,9.40,0.17,3.82,1.95,2,58106320;58106345,"The image shows the food category of a mixed green salad with arugula and cherry tomatoes, served alongside a small slice of pizza or flatbread with melted cheese and vegetable toppings, plated togeth",
dish_1562774099,DietAI24,40.00,51.99,2.79,6.16,1.28,70.00,11.90,0.20,1.84,1.13,30.00,40.09,2.59,4.32,0.15,1,75114000,"The image shows the food category of **mixed green salad**, including visible ingredients such as green lettuce leaves, red/purple lettuce (likely red leaf or radicchio), and what appears to be a ligh",
dish_1562788568,DietAI24,230.00,289.20,11.74,46.92,11.43,698.00,776.92,22.21,123.00,22.55,468.00,487.72,10.48,76.08,11.12,6,58161524;75117010;27116100;58161524;75117010;58161524,"The image shows the food category of a mixed plate meal, including brown/red rice stir-fried with vegetables (carrots, green beans, arugula/mixed greens, and garlic), two corn on the cob pieces, and a",
dish_1563218408,DietAI24,87.00,245.34,10.44,27.84,10.44,576.00,1543.68,57.89,183.34,72.58,489.00,1298.34,47.45,155.50,62.14,2,58106516;58106516,"The image shows the food category of pizza rolls or pizza bites, with visible pepperoni, melted cheese, and tomato sauce toppings, served in a metal bowl.

Additional details include: baked or reheate",
dish_1563294987,DietAI24,18.00,97.38,7.56,0.25,6.66,16.00,74.88,5.61,0.27,5.43,2.00,22.50,1.95,0.02,1.23,1,22601000,"The image shows the food category of **cooked bacon strips**, characterized by a crispy, caramelized appearance with reddish-brown coloring and rendered fat visible.

Additional details include: pan-f",
dish_1563295016,DietAI24,79.00,127.88,7.62,8.18,6.96,129.00,164.82,8.55,14.18,8.71,50.00,36.94,0.93,6.00,1.74,2,22601000;63141010,"The image shows the food category of **bacon and fresh pineapple chunks**, featuring cooked crispy bacon strips and cut pineapple pieces served on a white plate.

Additional details include: bacon app",
dish_1563295044,DietAI24,158.00,241.98,12.17,25.85,7.93,348.00,743.64,52.15,47.62,21.47,190.00,501.66,39.99,21.77,13.54,4,22601000;71403500;22601000;71403500,"The image shows the food category of a breakfast plate containing bacon, roasted potato and sweet potato hash, and fresh pineapple chunks. Additional details include crispy cooked bacon strips; diced ",
dish_1563551194,DietAI24,400.00,471.64,14.05,57.67,27.84,450.00,504.30,30.52,48.60,22.18,50.00,32.66,16.47,9.07,5.66,3,56208500;32400700;71403500,"The image shows the food category of a breakfast plate, including what appears to be oatmeal or grain porridge topped with banana slices and red fruit pieces, scrambled eggs, roasted or sautéed diced ",
dish_1563909469,DietAI24,64.00,72.40,6.91,2.25,1.36,37.00,31.08,1.88,0.77,2.60,27.00,41.32,5.03,1.48,1.23,1,75147000,"The image shows the food category of **spinach salad**, featuring fresh baby spinach leaves, sliced white onion, and what appears to be small pieces of a light-colored ingredient (possibly cheese or h",
dish_1563984167,DietAI24,608.00,291.68,1.22,14.18,48.29,335.00,239.00,7.72,7.68,34.83,273.00,52.68,6.51,6.50,13.46,2,31108110;32400055,"The image shows the food category of scrambled egg whites with cubed cantaloupe on the side, served on a white plate.

Additional details include egg whites that appear to be cooked and chopped or scr",
dish_1564427455,DietAI24,218.00,354.26,23.96,4.21,31.22,180.00,111.60,2.43,4.93,18.40,38.00,242.66,21.53,0.72,12.83,1,27446300,"The image shows the food category of a salad bowl containing cherry tomatoes (red and orange), kalamata olives, and cubed cooked chicken breast.

Additional details include fresh preparation style; se",
dish_1564428102,DietAI24,107.00,133.22,12.71,4.45,2.43,30.00,7.50,0.20,1.09,0.77,77.00,125.72,12.51,3.35,1.66,1,75113080,"The image shows the food category of **arugula salad**, featuring fresh arugula (rocket) leaves as the primary ingredient, with what appears to be small pieces of a light-colored ingredient (possibly ",
dish_1564428181,DietAI24,320.00,510.05,32.32,20.96,34.31,440.00,766.90,40.17,37.30,68.08,120.00,256.85,7.84,16.35,33.77,2,27446350;24107080,"The image shows the food category of a plated meal consisting of two components: a green salad made with arugula and shaved or chopped light-colored ingredients (possibly parmesan or onion), and a pro",
dish_1564675380,DietAI24,23.00,87.33,6.46,0.71,6.69,24.00,112.32,8.42,0.41,8.14,1.00,24.99,1.96,0.30,1.45,1,22601000,"The image shows the food category of **cooked bacon strips** — dark, crispy, and fully cooked with a deep reddish-brown color.

Additional details include **well-done/crispy preparation level**; **sin",
dish_1564687046,DietAI24,308.00,374.79,29.07,20.46,33.69,275.00,295.20,14.85,12.04,30.88,33.00,79.59,14.22,8.41,2.81,2,27111000;75205005,"The image shows the food category of a plated meal consisting of sliced cooked beef (likely steak), a tomato-based sauce or stewed tomato topping with what appears to be additional meat or fish, and a",
dish_1564689219,DietAI24,474.00,506.85,28.08,44.73,27.23,190.00,143.90,6.93,16.58,5.53,284.00,362.95,21.15,28.15,21.70,2,41311030;75114000,"The image shows the food category of a mixed green salad with visible ingredients including chickpeas, cubed tofu, black lentils, mixed salad greens (spinach and arugula), shredded carrots, red onion ",
dish_1564773826,DietAI24,56.00,10.08,0.11,2.18,0.50,48.00,9.60,0.15,1.94,0.39,8.00,0.48,0.04,0.24,0.11,1,74101000,"The image shows the food category of cherry tomatoes (specifically grape tomatoes, small elongated red and orange varieties). Additional details include raw, uncut preparation; served plain with no dr",
dish_1565020796,DietAI24,99.00,90.60,3.54,0.75,12.06,92.00,109.48,6.63,1.97,10.41,7.00,18.88,3.09,1.22,1.65,1,32400200,"The image shows the food category of scrambled eggs with bacon strips, featuring crumbled/chopped cooked egg whites and crispy cooked bacon.

Additional details include: the eggs appear to be whites o",
dish_1565020895,DietAI24,416.00,348.13,10.23,43.38,20.96,190.00,536.35,28.55,61.68,9.51,226.00,188.22,18.32,18.30,11.45,3,55103020;53303500;71404040,"The image shows the food category of a mixed breakfast plate, including fresh raspberries, blackberries, roasted sweet potato cubes, crispy bacon strips, cottage cheese, chia pudding topped with grape",
dish_1565035858,DietAI24,531.00,375.23,6.71,23.68,55.42,324.00,382.32,25.21,9.33,31.30,207.00,7.09,18.50,14.35,24.12,1,27440110,"The image shows the food category of a mixed plate meal, including diced cooked chicken breast, steamed cauliflower florets, cherry tomatoes, sliced green banana peppers, sliced red onion, and cubed w",
dish_1565117429,DietAI24,147.00,390.87,13.82,49.25,16.46,291.00,765.33,32.21,83.81,34.66,144.00,374.46,18.40,34.56,18.19,1,58106200,"The image shows the food category of **cheese pizza slices**, featuring a thin crust topped with tomato sauce and melted mozzarella cheese, cut into rectangular/square portions. Additional details inc",
dish_1565118700,DietAI24,49.00,16.66,0.22,3.11,1.25,70.00,40.40,0.89,7.87,1.01,21.00,23.74,0.67,4.75,0.24,2,72101220;75500210,"The image shows the food category of a small green salad with chopped dark red beets and mixed greens, including what appears to be spinach or arugula leaves with visible seeds or dressing.

Additiona",
dish_1565638599,DietAI24,279.00,368.70,15.76,23.10,32.86,636.00,906.00,30.11,120.48,36.33,357.00,537.30,14.35,97.37,3.47,2,27345010;58160690,"The image shows the food category of a mixed plate meal, including sautéed asparagus spears, grilled or baked chicken pieces (appearing seasoned/marinated with a reddish coating on one piece), and a g",
dish_1565711498,DietAI24,229.00,246.83,15.96,10.57,16.58,200.00,332.00,26.46,2.70,21.04,29.00,85.17,10.50,7.87,4.46,1,32130430,"The image shows the food category of scrambled eggs with roasted Brussels sprouts, served together on a white plate.

Additional details include home-cooked preparation style; eggs appear soft-scrambl",
dish_1565711570,DietAI24,324.00,603.83,41.26,34.24,26.62,150.00,250.50,19.82,2.25,15.82,174.00,353.33,21.44,31.99,10.79,1,32130490,"The image shows the food category of an American breakfast plate, including scrambled eggs, hash browns, bacon strips, and roasted Brussels sprouts.

Additional details include home-cooked preparation",
dish_1565811139,DietAI24,416.00,902.20,62.63,9.06,74.73,300.00,186.00,4.05,8.22,30.66,116.00,716.20,58.58,0.84,44.07,1,27446300,"The image shows the food category of a fresh salad, including key visible ingredients of baby spinach leaves, shredded carrots, broccoli florets, crumbled white cheese (likely feta or hard-boiled egg ",
dish_1565898331,DietAI24,100.00,155.99,6.52,4.59,18.11,95.00,114.00,2.54,20.04,2.54,5.00,41.99,3.98,15.44,15.58,1,58161474,"The image shows the food category of a rice and spinach dish, with visible ingredients including cooked white or brown rice, fresh spinach leaves, and what appears to be mushrooms.

Additional details",
dish_1566501575,DietAI24,54.00,251.69,15.55,26.89,3.35,408.00,816.00,40.39,85.15,27.30,354.00,564.31,24.84,58.26,23.95,1,58148130,"The image shows the food category of a tuna salad mixture, including visible ingredients such as canned tuna (shredded), shredded carrots, cherry tomatoes, and what appears to be chickpeas or similar ",
dish_1566850031,DietAI24,662.00,616.77,19.20,25.78,84.64,450.00,1057.50,84.42,12.60,62.87,212.00,440.73,65.22,13.18,21.78,1,27446200,"The image shows the food category of a chicken salad being prepared, with key visible ingredients including chopped cooked chicken, cherry tomatoes, shredded carrots, sliced red onion, and a creamy wh",
dish_1566850099,DietAI24,112.00,113.06,10.69,4.14,1.53,94.00,19.74,0.22,3.86,1.18,18.00,93.32,10.47,0.28,0.35,1,75143000,"The image shows the food category of a garden salad, including mixed greens, broccoli florets, shredded carrots, and red cabbage or beet greens as visible ingredients.

Additional details include: ser",
dish_1566850142,DietAI24,284.00,464.95,31.75,9.05,35.23,724.00,1160.40,68.21,53.22,80.71,440.00,695.45,36.46,44.16,45.48,3,27120030;75141000;27420500,"The image shows the food category of a mixed plate meal, including pulled or shredded meat (possibly pork or chicken) mixed with coleslaw-style shredded vegetables (carrots, cabbage), alongside a gree",
dish_1566851616,DietAI24,248.00,300.78,11.60,36.14,14.51,466.00,954.18,59.18,66.23,39.92,218.00,653.40,47.58,30.09,25.40,3,58106236;75143200;75140500,"The image shows the food category of a combination meal including Caesar salad (with romaine lettuce, croutons, shaved Parmesan cheese, and Caesar dressing), steamed broccoli florets, and a slice of c",
dish_1566920339,DietAI24,730.00,449.53,5.04,32.09,58.56,390.00,302.10,13.48,41.54,7.54,340.00,147.43,8.44,9.45,51.02,2,75214020;73403000,"The image shows the food category of roasted sweet potatoes and boiled/steamed cauliflower, served together on a white plate.

Additional details include home-prepared style; the sweet potatoes appear",
