dish_id,method,gt_mass_g,gt_calories,gt_fat_g,gt_carb_g,gt_protein_g,pred_mass_g,pred_calories,pred_fat_g,pred_carb_g,pred_protein_g,ae_mass_g,ae_calories,ae_fat_g,ae_carb_g,ae_protein_g,num_food_codes,food_codes,description,error
dish_1560801883,DietAI24,315.00,512.11,22.15,34.63,42.56,395.00,661.15,36.62,46.80,37.84,80.00,149.04,14.47,12.17,4.72,10,24102060;99997535;99997550;58106560;75114000;41101120;42110050;89901050;14650100;74420110,"The image shows the food category of a mixed plate with various items. The visible ingredients include roasted or baked chicken pieces, cauliflower florets, roasted squash or pumpkin slices, a small p",
dish_1560975628,DietAI24,296.00,348.27,12.46,32.35,27.61,1115.00,1654.00,101.67,122.76,60.45,819.00,1305.73,89.21,90.41,32.84,10,72116000;83102000;72201211;58146150;27345510;56205008;75311020;74101000;14120010;32103030,"The image shows the food category of a mixed meal plate. The visible ingredients include a Caesar-style salad with romaine lettuce and dressing, a small portion of steamed broccoli, a slice of cheese-",
dish_1561393764,DietAI24,182.00,280.80,20.10,5.52,19.07,184.00,350.26,26.25,4.74,23.50,2.00,69.46,6.16,0.79,4.44,3,32130010;99997220;89902100,"The image shows the food category of a breakfast plate. The visible ingredients include scrambled eggs, cooked broccoli florets, and strips of crispy bacon. The cooking method appears to be frying or ",
dish_1561405356,DietAI24,176.00,206.65,4.20,7.50,33.41,120.00,161.20,4.42,2.04,26.58,56.00,45.45,0.22,5.45,6.83,4,24122131;72201190;75113080;83201500,"The image shows the food category of a protein and vegetable plate. The visible ingredients include cooked chicken pieces, broccoli florets, and some green leafy garnish (likely arugula or similar gre",
dish_1561405411,DietAI24,282.00,332.06,8.51,25.68,37.23,365.00,433.35,9.86,39.52,44.66,83.00,101.29,1.35,13.85,7.43,8,56207160;75113080;72201190;41302080;24123301;99997525;82104000;61204010,"The image shows the food category of a plated grain and vegetable dish. The visible ingredients include yellow couscous, leafy greens (likely arugula), broccoli florets, chickpeas, and what appears to",
dish_1561574815,DietAI24,89.00,74.85,6.64,3.25,1.65,269.00,270.40,16.85,13.11,18.65,180.00,195.55,10.21,9.86,16.99,6,75114000;74101000;75117020;63105010;14104400;27446250,"The image shows the food category of a salad. The visible ingredients include mixed leafy greens, cherry tomatoes, sliced red onions, and what appears to be small pieces of avocado and possibly some c",
dish_1561578839,DietAI24,214.00,362.15,14.81,43.35,14.90,490.00,767.90,30.60,92.99,31.47,276.00,405.75,15.78,49.63,16.57,5,58106210;75143000;75510020;72201223;74201001,"The image shows the food category of a pizza meal with sides. The visible ingredients include three pieces of cheese pizza, a side of leafy green salad with black olives, roasted broccoli, and cherry ",
dish_1561661324,DietAI24,75.00,33.00,1.57,3.23,2.40,88.00,172.10,14.60,7.45,3.05,13.00,139.10,13.02,4.22,0.65,4,72116000;14108020;83112400;83112400,"The image shows the food category of a salad. The visible ingredients include romaine lettuce, shaved Parmesan cheese, and a creamy dressing. The cooking method appears to be fresh/raw, as the ingredi",
dish_1561662160,DietAI24,36.00,41.84,3.38,2.75,0.63,154.00,216.40,16.43,3.94,13.21,118.00,174.56,13.06,1.18,12.58,6,75114000;74101000;24123301;75202011;82104000;61204010,"The image shows the food category of a salad. The visible ingredients include mixed leafy greens, tomato pieces, some grilled or roasted meat pieces, and possibly grilled asparagus or a similar vegeta",
dish_1561667238,DietAI24,165.00,268.80,12.34,15.25,23.48,297.00,729.15,46.18,24.35,54.04,132.00,460.35,33.83,9.10,30.56,6,56205008;21101160;72116000;51185000;14108010;83102000,"The image shows the food category of a mixed plate meal. The visible ingredients include white rice, a piece of cooked meat (likely pork or beef), romaine lettuce, croutons, and grated cheese. The coo",
dish_1561741063,DietAI24,135.00,132.30,5.80,4.59,14.85,140.00,114.80,3.22,6.03,15.40,5.00,17.50,2.58,1.44,0.55,2,14200100;11111000,"The image shows the food category of a dairy-based dish. The visible ingredients include cottage cheese. The cooking method appears to be none, as cottage cheese is typically served fresh and uncooked",
dish_1561741090,DietAI24,221.00,161.54,5.98,11.47,15.54,430.00,287.90,11.56,22.67,22.95,209.00,126.36,5.58,11.20,7.41,3,63109010;14201010;11411100,The image shows the food category of a fruit and dairy dish. The visible ingredients include chunks of cantaloupe melon and what appears to be cottage cheese or yogurt. The cooking method appears to b,
dish_1562009810,DietAI24,108.00,119.88,0.97,24.84,2.81,70.00,90.30,0.20,19.59,1.87,38.00,29.58,0.78,5.25,0.94,2,56205008;73101010,"The image shows the food category of a rice dish. The visible ingredients include cooked rice with small bits of vegetables, likely carrots. The cooking method appears to be boiled or steamed. Additio",
dish_1562168648,DietAI24,32.00,41.59,2.23,4.92,1.02,50.00,9.15,0.14,1.37,0.87,18.00,32.44,2.09,3.55,0.16,3,75113000;72116000;72125100,The image shows the food category of a salad. The visible ingredients include green leafy lettuce and a few other leafy greens. The cooking method appears to be raw (uncooked). Additional details incl,
dish_1562168800,DietAI24,242.00,237.52,9.34,36.31,3.83,275.00,195.65,5.40,34.94,3.47,33.00,41.87,3.94,1.37,0.36,5,71104200;75113000;63223020;63203010;75111000,"The image shows the food category of a mixed plate or light meal. The visible ingredients include roasted potato chunks, leafy green lettuce, sliced strawberries, blueberries, and pieces of green melo",
dish_1562617703,DietAI24,110.00,179.63,6.49,26.95,4.51,220.00,403.00,12.99,61.05,10.74,110.00,223.37,6.50,34.10,6.23,2,13110200;13110210,"The image shows the food category of a dessert. The visible ingredients include soft-serve ice cream with two flavors, likely chocolate and vanilla swirled together. The cooking method appears to be n",
dish_1562691032,DietAI24,415.00,419.68,22.04,39.06,17.95,440.00,459.60,23.37,47.29,17.05,25.00,39.92,1.33,8.24,0.89,6,32130020;71104100;72201190;63223020;63203010;63141010,"The image shows the food category of a breakfast plate. The visible ingredients include scrambled eggs, roasted or fried potato chunks, roasted broccoli, sliced strawberries, blueberries, and pieces o",
dish_1562703447,DietAI24,259.00,384.43,17.96,37.65,18.51,350.00,641.60,31.77,62.27,27.79,91.00,257.17,13.81,24.61,9.28,8,58106350;14107010;99997520;75114000;74101000;75111000;83106000;83106000,"The image shows the food category of a mixed plate with pizza and salad. The visible ingredients include a slice of pizza with cheese and green bell pepper, and a leafy green salad with possibly some ",
dish_1562774099,DietAI24,40.00,51.99,2.79,6.16,1.28,115.00,122.90,8.03,3.98,9.24,75.00,70.91,5.24,2.18,7.96,4,75113000;72125100;27446240;89902050,"The image shows the food category of a salad. The visible ingredients include assorted leafy greens such as lettuce and spinach. The cooking method appears to be raw, as the greens are fresh and uncoo",
dish_1562788568,DietAI24,230.00,289.20,11.74,46.92,11.43,455.00,539.60,16.32,56.12,44.94,225.00,250.40,4.59,9.21,33.51,6,56205012;75310990;72125100;73101010;75216111;24124201,"The image shows the food category of a mixed plate meal. The visible ingredients include cooked brown or red rice, leafy greens (possibly spinach or arugula), carrot slices, two pieces of corn on the ",
dish_1563218408,DietAI24,87.00,245.34,10.44,27.84,10.44,346.00,919.08,50.77,74.94,40.43,259.00,673.74,40.33,47.10,29.99,4,51121075;74404010;14107010;25221255,"The image shows the food category of a pizza dish. The visible ingredients include melted cheese, tomato sauce, and pepperoni slices on a rectangular crust base. The cooking method appears to be baked",
dish_1563294987,DietAI24,18.00,97.38,7.56,0.25,6.66,14.00,67.76,5.01,0.27,5.24,4.00,29.62,2.55,0.01,1.42,1,22600100,The image shows the food category of a cooked meat dish. The visible ingredient is a small portion of cooked bacon. The cooking method appears to be fried or pan-cooked. Additional details include no ,
dish_1563295016,DietAI24,79.00,127.88,7.62,8.18,6.96,102.00,101.16,4.32,12.01,4.56,23.00,26.72,3.30,3.83,2.41,2,22601000;63141010,The image shows the food category of a simple plate meal or snack. The visible ingredients include a piece of cooked bacon and several chunks of pineapple. The cooking method appears to be frying for ,
dish_1563295044,DietAI24,158.00,241.98,12.17,25.85,7.93,408.00,410.44,15.48,56.39,14.16,250.00,168.46,3.31,30.55,6.23,5,22601000;73403010;75222020;75234021;63141010,"The image shows the food category of a breakfast or snack plate. The visible ingredients include cooked bacon, roasted or fried mixed root vegetables (including sweet potatoes and possibly turnips or ",
dish_1563551194,DietAI24,400.00,471.64,14.05,57.67,27.84,375.00,545.00,28.29,56.73,16.54,25.00,73.36,14.25,0.94,11.31,7,32130020;71104200;51101010;14301010;13220110;63107010;63223020,"The image shows the food category of a breakfast plate. The visible ingredients include scrambled eggs, roasted or fried diced potatoes, a piece of toasted bread or English muffin with a spread of cre",
dish_1563909469,DietAI24,64.00,72.40,6.91,2.25,1.36,15.00,4.05,0.09,0.36,0.43,49.00,68.35,6.81,1.89,0.94,2,72125100;75115000,"The image shows the food category of a salad. The visible ingredients include fresh spinach leaves and slices of mushrooms. The cooking method appears to be raw or fresh, as the ingredients look uncoo",
dish_1563984167,DietAI24,608.00,291.68,1.22,14.18,48.29,100.00,90.50,5.07,4.56,6.61,508.00,201.18,3.85,9.62,41.68,2,31103010;63109010,The image shows the food category of a simple breakfast plate. The visible ingredients include chopped hard-boiled eggs and chunks of cantaloupe melon. The cooking method appears to be boiling for the,
dish_1564427455,DietAI24,218.00,354.26,23.96,4.21,31.22,225.00,217.80,11.59,6.36,21.77,7.00,136.46,12.36,2.15,9.45,3,24123300;74101000;75510020,"The image shows the food category of a salad. The visible ingredients include chopped cooked chicken breast, grape or cherry tomatoes, and Kalamata olives. The cooking method appears to be grilled or ",
dish_1564428102,DietAI24,107.00,133.22,12.71,4.45,2.43,65.00,24.20,0.22,4.57,1.57,42.00,109.02,12.49,0.13,0.86,3,75113000;75113080;75111500,"The image shows the food category of a salad. The visible ingredients include leafy greens, possibly lettuce or arugula, and some small pieces of what appears to be chopped garlic or another small veg",
dish_1564428181,DietAI24,320.00,510.05,32.32,20.96,34.31,300.00,686.30,44.40,1.39,67.42,20.00,176.25,12.08,19.56,33.12,7,24162150;27116210;56205008;14104100;75114000;75510020;14107010,"The image shows the food category of a mixed meal with a protein and salad. The visible ingredients include a piece of cooked chicken wing, a portion of shredded meat mixed with rice or grains and pos",
dish_1564675380,DietAI24,23.00,87.33,6.46,0.71,6.69,90.00,400.80,18.25,57.52,3.48,67.00,313.47,11.79,56.81,3.21,2,53391150;91305010,The image shows the food category of a baked dessert tart. The visible ingredients include a brown crust and a chocolate or chocolate-like filling. The cooking method appears to be baking. Additional ,
dish_1564687046,DietAI24,308.00,374.79,29.07,20.46,33.69,600.00,881.00,52.00,21.46,84.08,292.00,506.21,22.93,1.01,50.40,4,21101160;27450700;75205005;74404010,"The image shows the food category of a meat and vegetable plate. The visible ingredients include slices of cooked steak, cooked green beans, and a piece of fish topped with a red tomato-based sauce. T",
dish_1564689219,DietAI24,474.00,506.85,28.08,44.73,27.23,265.00,190.65,4.94,23.71,15.66,209.00,316.20,23.15,21.01,11.57,7,75114000;41302020;41305000;75111000;75117020;73101010;41420010,"The image shows the food category of a salad plate. The visible ingredients include mixed leafy greens, chickpeas, black lentils or beans, cucumber slices, red onion, carrot shreds, and cubes of tofu.",
dish_1564773826,DietAI24,56.00,10.08,0.11,2.18,0.50,48.00,9.60,0.15,1.94,0.39,8.00,0.48,0.04,0.24,0.11,1,74101000,"The image shows the food category of a raw vegetable/snack item. The visible ingredients include several small red grape or cherry tomatoes. The cooking method appears to be none, as the tomatoes are ",
dish_1565020796,DietAI24,99.00,90.60,3.54,0.75,12.06,56.00,180.88,14.21,1.82,11.11,43.00,90.28,10.67,1.07,0.95,2,14104400;22601040,The image shows the food category of a breakfast or protein dish. The visible ingredients include crumbled white cheese (likely feta or a similar cheese) and two strips of cooked bacon. The cooking me,
dish_1565020895,DietAI24,416.00,348.13,10.23,43.38,20.96,229.00,273.65,12.71,30.05,11.35,187.00,74.48,2.48,13.33,9.61,6,63219000;63201010;73403020;22601000;63123000;14201200,"The image shows the food category of a breakfast or brunch plate. The visible ingredients include raspberries, blackberries, roasted sweet potatoes, crispy bacon strips, chia seed pudding with grapes,",
dish_1565035858,DietAI24,531.00,375.23,6.71,23.68,55.42,406.00,308.25,7.93,16.08,42.72,125.00,66.98,1.22,7.60,12.70,6,24123301;75107000;63149010;74101000;75122100;75117020,"The image shows the food category of a mixed salad plate. The visible ingredients include diced cooked chicken breast, steamed or boiled cauliflower florets, watermelon chunks, grape tomatoes, sliced ",
dish_1565117429,DietAI24,147.00,390.87,13.82,49.25,16.46,470.00,1216.30,61.95,95.33,68.99,323.00,825.43,48.13,46.08,52.53,4,58106200;89901050;14107010;14620300,"The image shows the food category of pizza. The visible ingredients include pizza crust, tomato sauce, and melted mozzarella cheese. The cooking method appears to be baked. Additional details include ",
dish_1565118700,DietAI24,49.00,16.66,0.22,3.11,1.25,45.00,22.95,1.17,2.28,1.31,4.00,6.29,0.94,0.83,0.06,2,72118211;72118220,The image shows the food category of a small portion of cooked vegetables or greens. The visible ingredients include leafy greens and some diced pieces that could be stems or other vegetable parts. Th,
dish_1565638599,DietAI24,279.00,368.70,15.76,23.10,32.86,535.00,695.55,26.59,37.62,76.24,256.00,326.85,10.83,14.51,43.38,7,75202011;56207110;75311020;24123301;24107070;26158110;82104000,"The image shows the food category of a balanced plate meal. The visible ingredients include green asparagus, cooked chicken pieces, a grain dish likely made with bulgur or couscous mixed with small ve",
dish_1565711498,DietAI24,229.00,246.83,15.96,10.57,16.58,250.00,294.00,20.25,13.63,17.56,21.00,47.17,4.29,3.06,0.98,2,32130020;75209021,The image shows the food category of a simple plated meal. The visible ingredients include scrambled eggs and roasted Brussels sprouts. The cooking method appears to be scrambling for the eggs and roa,
dish_1565711570,DietAI24,324.00,603.83,41.26,34.24,26.62,340.00,632.90,43.61,35.35,28.33,16.00,29.07,2.35,1.11,1.71,4,32130020;75209021;71404030;21601000,"The image shows the food category of a breakfast plate. The visible ingredients include scrambled eggs, roasted Brussels sprouts, crispy fried hash browns, and cooked bacon strips. The cooking method ",
dish_1565811139,DietAI24,416.00,902.20,62.63,9.06,74.73,180.00,156.60,9.14,10.11,8.74,236.00,745.60,53.49,1.05,65.99,4,72125100;73101010;72201100;14104400,"The image shows the food category of a salad. The visible ingredients include fresh spinach leaves, shredded carrots, broccoli florets, and crumbled white cheese (likely feta or cotija). The cooking m",
dish_1565898331,DietAI24,100.00,155.99,6.52,4.59,18.11,90.00,60.30,0.43,10.88,2.91,10.00,95.69,6.09,6.29,15.20,3,56205008;99997515;99997210,"The image shows the food category of a small mixed dish or side serving. The visible ingredients include cooked rice, pieces of mushrooms, and fresh spinach leaves. The cooking method appears to be a ",
dish_1566501575,DietAI24,54.00,251.69,15.55,26.89,3.35,263.00,365.58,12.69,24.60,37.58,209.00,113.89,2.86,2.29,34.23,6,56205008;99992405;74101000;73101010;42101000;51300050,"The image shows the food category of a mixed rice bowl or salad. The visible ingredients include cooked rice, shredded chicken or tuna, cherry tomatoes, grated carrots, almonds, and a slice of brown b",
dish_1566850031,DietAI24,662.00,616.77,19.20,25.78,84.64,261.00,324.30,14.18,10.50,36.66,401.00,292.47,5.02,15.28,47.99,5,24123301;73101010;74101000;75117020;83112400,"The image shows the food category of a salad. The visible ingredients include diced cooked chicken breast, shredded carrots, halved grape tomatoes, and sliced red onions. The cooking method appears to",
dish_1566850099,DietAI24,112.00,113.06,10.69,4.14,1.53,165.00,254.60,19.29,15.76,8.45,53.00,141.54,8.61,11.62,6.92,5,99997220;75113000;73101010;42110050;43107000,"The image shows the food category of a salad. The visible ingredients include broccoli florets, leafy greens (such as lettuce), shredded carrot, and possibly some nuts or seeds. The cooking method app",
dish_1566850142,DietAI24,284.00,464.95,31.75,9.05,35.23,580.00,758.40,44.74,50.95,39.98,296.00,293.45,12.98,41.89,4.76,8,99992405;73101010;75103000;72201190;75114000;75143000;83103000;83201400,"The image shows the food category of a mixed meal plate. The visible ingredients include shredded meat (likely chicken or pork), shredded carrots, cabbage or coleslaw mix, cooked broccoli florets, and",
dish_1566851616,DietAI24,248.00,300.78,11.60,36.14,14.51,259.00,544.54,30.86,50.61,17.16,11.00,243.76,19.25,14.47,2.65,5,58106210;72116000;51185000;83102000;72201212,"The image shows the food category of a mixed plate meal. The visible ingredients include a slice of cheese pizza, a portion of Caesar salad with romaine lettuce and croutons, and some steamed broccoli",
dish_1566920339,DietAI24,730.00,449.53,5.04,32.09,58.56,320.00,243.25,7.54,40.44,6.25,410.00,206.28,2.50,8.35,52.31,2,73403020;75214011,The image shows the food category of a vegetable side dish. The visible ingredients include cooked sweet potatoes and steamed or boiled cauliflower florets. The cooking method appears to be roasting o,
