dish_id,method,gt_mass_g,gt_calories,gt_fat_g,gt_carb_g,gt_protein_g,pred_mass_g,pred_calories,pred_fat_g,pred_carb_g,pred_protein_g,ae_mass_g,ae_calories,ae_fat_g,ae_carb_g,ae_protein_g,num_food_codes,food_codes,description,error
dish_1558639526,MIA24,78.00,31.98,0.16,7.80,0.70,90.00,62.10,2.94,8.69,0.85,12.00,30.12,2.79,0.89,0.14,1,73102217,"The image shows the food category of cooked or steamed carrots, sliced into pieces. Additional details include served on a white square plate; not specified subcategory as to seasoning or preparation ",
dish_1558641287,MIA24,64.00,11.52,0.13,2.50,0.58,480.00,96.00,1.49,19.39,3.94,416.00,84.48,1.36,16.90,3.36,1,74101000,The image shows the food category of fresh cherry tomatoes. Additional details include serving style as whole tomatoes on a white square plate.,
dish_1559157919,MIA24,39.00,37.09,3.33,1.52,0.99,69.00,85.13,6.85,4.73,2.86,30.00,48.04,3.53,3.21,1.86,4,75113080;63203010;42116000;72125100,"The image shows the food category of a fresh salad with leafy greens, blueberries, and walnuts. Additional details include the presence of spinach and arugula as the main greens; not specified subcate",
dish_1559239256,MIA24,128.00,60.16,0.13,15.36,1.15,109.00,57.77,0.34,14.54,0.88,19.00,2.39,0.21,0.82,0.27,1,61125010,The image shows the food category of a whole orange or tangerine. Additional details include that it is served on a white square plate; not specified subcategory as to variety or preparation.,
dish_1560203400,MIA24,104.00,293.28,12.48,33.28,12.48,144.00,385.92,14.47,45.84,18.14,40.00,92.64,1.99,12.56,5.66,1,58106516,The image shows the food category of pepperoni pizza with visible pepperoni slices and melted cheese on a square crust. Additional details include a thick crust style and serving on a white plate.,
dish_1560526514,MIA24,224.00,183.25,8.40,26.03,3.42,384.00,358.84,16.99,50.32,4.61,160.00,175.59,8.60,24.29,1.19,3,75114000;63413010;71104130,"The image shows the food category of a mixed salad with fresh fruits and roasted potatoes. Additional details include visible ingredients such as spinach, mixed leafy greens, strawberries, pineapple c",
dish_1560526552,MIA24,319.00,359.24,21.78,28.02,14.59,489.00,437.54,19.90,53.57,14.77,170.00,78.30,1.89,25.55,0.18,4,32130400;71104130;75143000;63141010,"The image shows the food category of a mixed breakfast plate including scrambled eggs, roasted potatoes, fresh fruit (pineapple and strawberries), and a leafy green salad with some cooked vegetables. ",
dish_1560801797,MIA24,96.00,25.66,0.70,4.11,1.34,56.00,17.86,0.18,3.99,0.78,40.00,7.80,0.52,0.12,0.56,2,75214011;73303010,"The image shows the food category of vegetables, including pieces of cauliflower and what appears to be roasted or cooked squash or pumpkin. Additional details include a simple serving style on a whit",
dish_1560801883,MIA24,315.00,512.11,22.15,34.63,42.56,307.00,551.92,22.41,49.83,38.79,8.00,39.81,0.27,15.20,3.77,4,58106578;75214027;73201020;21401000,"The image shows the food category of a mixed plate with pizza (pepperoni and cheese), roasted or grilled vegetables (cauliflower, squash, and possibly pumpkin), and pieces of cooked meat. Additional d",
dish_1560975628,MIA24,296.00,348.27,12.46,32.35,27.61,463.00,731.75,26.87,81.72,39.89,167.00,383.48,14.40,49.37,12.28,5,72116150;58106205;24142510;99997220;58161484,"The image shows the food category of a mixed meal plate including a green leafy salad, broccoli florets, a slice of cheese-topped baked dish (likely lasagna or casserole), cooked chicken pieces, and a",
dish_1561393764,MIA24,182.00,280.80,20.10,5.52,19.07,206.00,307.88,22.00,6.47,20.33,24.00,27.08,1.90,0.95,1.27,3,32130020;22601000;72201211,"The image shows the food category of a breakfast plate with scrambled eggs, cooked broccoli, and crispy bacon strips. Additional details include the broccoli appearing roasted or sautéed; the bacon is",
dish_1561405356,MIA24,176.00,206.65,4.20,7.50,33.41,220.00,353.20,16.94,10.17,37.44,44.00,146.55,12.74,2.68,4.02,3,24127500;75113080;72201223,The image shows the food category of a cooked chicken breast served with steamed broccoli and some leafy greens. Additional details include a light sauce or seasoning on the chicken and a simple plati,
dish_1561405411,MIA24,282.00,332.06,8.51,25.68,37.23,470.00,554.40,16.27,42.31,57.34,188.00,222.34,7.76,16.64,20.12,3,56207160;24122160;27446300,"The image shows the food category of a mixed salad plate with couscous, leafy greens, broccoli, and what appears to be a piece of cooked chicken or fish. Additional details include the presence of chi",
dish_1561574815,MIA24,89.00,74.85,6.64,3.25,1.65,70.00,11.90,0.20,1.84,1.13,19.00,62.95,6.44,1.41,0.53,1,75114000,"The image shows the food category of a mixed green salad with visible ingredients including leafy greens, cherry tomatoes, sliced red onions, and a sprinkling of grated cheese. Additional details incl",
dish_1561578839,MIA24,214.00,362.15,14.81,43.35,14.90,160.00,218.80,13.18,10.08,15.08,54.00,143.35,1.64,33.28,0.18,3,14620300;72201223;75143050,"The image shows the food category of a meal plate with cheese pizza slices, a green leafy salad with olives, and roasted vegetables including broccoli and cherry tomatoes. Additional details include t",
dish_1561661324,MIA24,75.00,33.00,1.57,3.23,2.40,30.00,22.80,1.07,2.03,1.27,45.00,10.20,0.50,1.19,1.13,1,72116150,The image shows the food category of a salad with visible ingredients including chopped romaine lettuce and shaved cheese. Additional details include a creamy dressing coating the salad; not specified,
dish_1561662160,MIA24,36.00,41.84,3.38,2.75,0.63,20.00,3.40,0.06,0.53,0.32,16.00,38.44,3.32,2.23,0.31,1,75114000,The image shows the food category of a salad with mixed greens and pieces of tomato. Additional details include the presence of leafy lettuce varieties and a light sprinkling of a grain or seed-like i,
dish_1561667238,MIA24,165.00,268.80,12.34,15.25,23.48,260.00,339.60,12.10,28.73,27.17,95.00,70.80,0.25,13.48,3.69,3,27221110;56205001;72116150,The image shows the food category of a plated meal consisting of cooked meat topped with white rice and a side of salad with croutons. Additional details include the salad containing leafy greens and ,
dish_1561741063,MIA24,135.00,132.30,5.80,4.59,14.85,210.00,205.80,9.03,7.10,23.35,75.00,73.50,3.22,2.51,8.50,1,14201010,"The image shows the food category of cottage cheese, characterized by its white, lumpy texture. Additional details include serving style in a white bowl; not specified subcategory as to fat content or",
dish_1561741090,MIA24,221.00,161.54,5.98,11.47,15.54,316.00,201.44,4.59,18.51,22.00,95.00,39.90,1.39,7.04,6.47,2,14202010;63109010,The image shows the food category of a bowl of cottage cheese topped with cantaloupe melon chunks. Additional details include fresh fruit topping; served in a small white bowl; not specified subcatego,
dish_1562009810,MIA24,108.00,119.88,0.97,24.84,2.81,100.00,104.00,0.80,21.84,2.31,8.00,15.88,0.17,3.00,0.50,1,58161437,The image shows the food category of cooked rice with small visible pieces of vegetables. Additional details include a plain serving style on a white square plate; not specified subcategory as to exac,
dish_1562168648,MIA24,32.00,41.59,2.23,4.92,1.02,20.00,4.20,0.05,0.82,0.25,12.00,37.39,2.18,4.10,0.77,1,75143000,"The image shows the food category of leafy greens, specifically a small portion of lettuce leaves. Additional details include the serving style as a small, loose pile on a white square plate; not spec",
dish_1562168800,MIA24,242.00,237.52,9.34,36.31,3.83,287.00,221.63,6.68,38.05,3.90,45.00,15.89,2.66,1.74,0.07,4,71104130;63223020;63203010;75143000,"The image shows the food category of a mixed plate with roasted potatoes, fresh fruit (strawberries and blueberries), cucumber pieces, and leafy green lettuce. Additional details include a serving sty",
dish_1562617703,MIA24,110.00,179.63,6.49,26.95,4.51,175.00,278.25,9.80,42.35,7.00,65.00,98.62,3.31,15.40,2.49,1,11460500,The image shows the food category of soft serve ice cream with a swirl of chocolate and vanilla flavors. Additional details include serving style in a small white cup.,
dish_1562691032,MIA24,415.00,419.68,22.04,39.06,17.95,404.00,356.30,13.27,50.50,10.95,11.00,63.38,8.77,11.44,7.00,6,31105010;71104130;72201223;63223020;63203010;63141010,"The image shows the food category of a breakfast plate including scrambled eggs, roasted potatoes, roasted broccoli, and a fruit mix of strawberries, blueberries, and pineapple chunks. Additional deta",
dish_1562703447,MIA24,259.00,384.43,17.96,37.65,18.51,194.00,284.74,12.25,31.88,12.40,65.00,99.69,5.71,5.77,6.12,2,75143000;58106320,The image shows the food category of a mixed green salad served with a slice of pizza. Additional details include leafy greens as the main salad ingredient; the pizza slice appears to have cheese and ,
dish_1562774099,MIA24,40.00,51.99,2.79,6.16,1.28,35.00,5.95,0.10,0.92,0.56,5.00,46.04,2.69,5.24,0.72,1,75114000,The image shows the food category of a leafy green salad with mixed greens. Additional details include the presence of some seasoning or dressing visible on the leaves; not specified subcategory as to,
dish_1562788568,MIA24,230.00,289.20,11.74,46.92,11.43,268.00,369.92,13.20,45.61,20.31,38.00,80.72,1.46,1.30,8.88,3,24127500;58161424;75216134,"The image shows the food category of a mixed meal plate including cooked brown rice with vegetables (carrots and leafy greens), two pieces of corn on the cob, and a piece of cooked chicken. Additional",
dish_1563218408,MIA24,87.00,245.34,10.44,27.84,10.44,194.00,531.56,24.66,53.39,23.77,107.00,286.22,14.22,25.55,13.33,1,58106512,"The image shows the food category of pizza, specifically two small rectangular slices with visible pepperoni and melted cheese on top. Additional details include serving style on a metal plate; not sp",
dish_1563294987,MIA24,18.00,97.38,7.56,0.25,6.66,8.00,37.44,2.81,0.14,2.71,10.00,59.94,4.75,0.12,3.95,1,22601000,The image shows the food category of cooked bacon strips. Additional details include a single serving piece placed on a white square plate; not specified subcategory as to fat or sodium level; not spe,
dish_1563295016,MIA24,79.00,127.88,7.62,8.18,6.96,87.00,93.66,4.30,10.04,4.48,8.00,34.22,3.32,1.86,2.49,2,22601000;63141010,The image shows the food category of a small serving of cooked bacon and fresh pineapple chunks. Additional details include the bacon being fried or grilled and the pineapple cut into bite-sized piece,
dish_1563295044,MIA24,158.00,241.98,12.17,25.85,7.93,106.00,119.88,5.72,12.08,5.91,52.00,122.10,6.44,13.77,2.02,2,22601000;63141010,"The image shows the food category of a breakfast plate with cooked bacon, roasted or fried potato chunks, and pineapple pieces. Additional details include a serving style on a white square plate; not ",
dish_1563551194,MIA24,400.00,471.64,14.05,57.67,27.84,328.00,604.31,31.85,56.83,23.70,72.00,132.67,17.81,0.84,4.14,4,31108110;71104130;14301010;34001300,"The image shows the food category of a breakfast plate including scrambled eggs, roasted or fried diced potatoes, a toasted bread or English muffin with a spread (likely cream cheese), and a serving o",
dish_1563909469,MIA24,64.00,72.40,6.91,2.25,1.36,10.00,2.70,0.06,0.24,0.28,54.00,69.70,6.84,2.01,1.08,1,89902060,The image shows the food category of a leafy green salad with spinach leaves and some pieces of what appears to be sliced garlic or onion. Additional details include a small portion size served on a w,
dish_1563984167,MIA24,608.00,291.68,1.22,14.18,48.29,108.00,45.66,0.14,6.90,4.14,500.00,246.02,1.08,7.29,44.15,2,31108110;63109010,The image shows the food category of a simple plate with chopped boiled egg whites and pieces of cantaloupe melon. Additional details include the egg whites being plain and unseasoned; the cantaloupe ,
dish_1564427455,MIA24,218.00,354.26,23.96,4.21,31.22,90.00,55.80,1.22,2.47,9.20,128.00,298.46,22.74,1.75,22.02,1,27446300,"The image shows the food category of a salad or mixed bowl containing chopped cooked chicken breast, cherry tomatoes, and Kalamata olives. Additional details include the ingredients being raw or minim",
dish_1564428102,MIA24,107.00,133.22,12.71,4.45,2.43,28.00,7.56,0.12,1.31,0.80,79.00,125.66,12.59,3.14,1.63,1,72122100,"The image shows the food category of leafy greens, specifically a small portion of fresh arugula leaves. Additional details include the presence of small white pieces that may be garlic or another gar",
dish_1564428181,MIA24,320.00,510.05,32.32,20.96,34.31,335.00,395.95,16.51,45.44,16.52,15.00,114.10,15.82,24.49,17.78,2,27345510;75114000,The image shows the food category of a meal plate with cooked chicken pieces and a fresh green salad. Additional details include shredded cheese on the chicken; the salad contains leafy greens and som,
dish_1564675380,MIA24,23.00,87.33,6.46,0.71,6.69,5.00,15.45,1.48,0.27,0.58,18.00,71.88,4.99,0.45,6.11,1,41810200,The image shows the food category of a single strip of cooked bacon. Additional details include a crispy texture and a serving style placed on a white square plate.,
dish_1564687046,MIA24,308.00,374.79,29.07,20.46,33.69,502.00,605.02,35.76,41.45,33.07,194.00,230.23,6.69,20.99,0.61,3,27416150;27311625;75205005,The image shows the food category of a meal with cooked green beans and slices of cooked meat with a tomato-based sauce. Additional details include the meat being sliced and the tomato sauce appearing,
dish_1564689219,MIA24,474.00,506.85,28.08,44.73,27.23,494.00,407.24,22.49,37.57,19.56,20.00,99.61,5.60,7.16,7.67,3,41311030;41420010;75143100,"The image shows the food category of a mixed salad plate with ingredients including leafy greens, chickpeas, tofu cubes, black lentils, cucumber slices, and some shredded carrots. Additional details i",
dish_1564773826,MIA24,56.00,10.08,0.11,2.18,0.50,360.00,72.00,1.12,14.54,2.95,304.00,61.92,1.00,12.36,2.45,1,74101000,"The image shows the food category of small tomatoes, including grape or cherry tomatoes with a red color. Additional details include the tomatoes being whole and placed on a white square plate.",
dish_1565020796,MIA24,99.00,90.60,3.54,0.75,12.06,52.00,110.88,7.67,1.07,9.02,47.00,20.28,4.13,0.32,3.04,2,31108100;22601000,"The image shows the food category of breakfast items, including scrambled or chopped eggs and two strips of cooked bacon. Additional details include the eggs being white in color, suggesting they migh",
dish_1565020895,MIA24,416.00,348.13,10.23,43.38,20.96,87.00,112.51,6.07,8.11,7.32,329.00,235.62,4.16,35.26,13.64,3,63219000;63201010;24208500,"The image shows the food category of a mixed breakfast plate including fresh berries (raspberries and blackberries), roasted sweet potatoes, bacon, chia seed pudding with grapes, and small pieces of w",
dish_1565035858,MIA24,531.00,375.23,6.71,23.68,55.42,377.00,332.40,12.29,11.40,43.77,154.00,42.83,5.58,12.27,11.65,4,24123301;75214020;75122100;74101000,The image shows the food category of a mixed plate of fresh and cooked vegetables with diced cooked chicken breast. Additional details include diced grilled or baked chicken breast; raw grape tomatoes,
dish_1565117429,MIA24,147.00,390.87,13.82,49.25,16.46,40.00,92.00,5.87,3.05,6.74,107.00,298.87,7.95,46.20,9.72,1,14620300,The image shows the food category of cheese pizza slices with visible melted cheese and tomato sauce on a baked crust. Additional details include three small square or triangular slices served on a wh,
dish_1565118700,MIA24,49.00,16.66,0.22,3.11,1.25,30.00,13.20,0.89,1.17,0.56,19.00,3.46,0.66,1.94,0.69,1,72104220,The image shows the food category of cooked leafy greens with some chopped vegetables or stems. Additional details include a small portion size served on a white square plate; not specified subcategor,
dish_1565638599,MIA24,279.00,368.70,15.76,23.10,32.86,324.00,358.40,11.95,26.83,39.14,45.00,10.30,3.81,3.73,6.28,3,75202020;56207120;24120120,"The image shows the food category of a plated meal consisting of cooked asparagus, a portion of cooked grains (likely bulgur or couscous) with visible small vegetable pieces, and two types of cooked m",
dish_1565711498,MIA24,229.00,246.83,15.96,10.57,16.58,239.00,121.41,1.21,15.52,15.37,10.00,125.42,14.75,4.96,1.21,2,32400075;75209011,The image shows the food category of a breakfast plate with scrambled eggs and roasted Brussels sprouts. Additional details include the scrambled eggs being soft and lightly cooked; the Brussels sprou,
dish_1565711570,MIA24,324.00,603.83,41.26,34.24,26.62,426.00,683.88,46.78,43.62,26.04,102.00,80.05,5.53,9.38,0.58,4,32130010;75209021;22601040;71405010,"The image shows the food category of a breakfast plate including scrambled eggs, roasted Brussels sprouts, hash browns, and cooked bacon. Additional details include a typical American breakfast style;",
dish_1565811139,MIA24,416.00,902.20,62.63,9.06,74.73,243.00,137.96,3.15,12.08,15.42,173.00,764.24,59.48,3.02,59.31,4,72125100;73101010;72201100;14204010,"The image shows the food category of a fresh vegetable salad with spinach leaves, shredded carrots, broccoli florets, and crumbled white cheese. Additional details include raw preparation; main ingred",
dish_1565898331,MIA24,100.00,155.99,6.52,4.59,18.11,155.00,193.65,6.71,11.02,21.61,55.00,37.66,0.19,6.43,3.50,3,58161474;26158110;99997210,The image shows the food category of a small portion of cooked rice with spinach and a piece of fish or meat. Additional details include the presence of leafy greens (spinach) and a small serving size,
dish_1566501575,MIA24,54.00,251.69,15.55,26.89,3.35,372.00,365.08,8.73,44.13,28.08,318.00,113.39,6.83,17.23,24.73,5,26155110;74201000;73101010;42101000;56205001,"The image shows the food category of a mixed bowl containing shredded tuna, cooked rice, cherry tomatoes, shredded carrots, and almonds. Additional details include a metal mixing bowl and a spoon, sug",
dish_1566850031,MIA24,662.00,616.77,19.20,25.78,84.64,226.00,422.62,29.58,8.90,31.21,436.00,194.15,10.39,16.88,53.43,1,27446240,"The image shows the food category of a salad with chopped grilled chicken, grape tomatoes, shredded carrots, sliced red onions, and a creamy dressing. Additional details include a mixed vegetable base",
dish_1566850099,MIA24,112.00,113.06,10.69,4.14,1.53,90.00,79.50,4.93,7.44,1.56,22.00,33.56,5.76,3.30,0.03,2,75143000;75140510,"The image shows the food category of a mixed green salad with visible ingredients including broccoli, lettuce, shredded carrots, and possibly some other leafy greens. Additional details include a fres",
dish_1566850142,MIA24,284.00,464.95,31.75,9.05,35.23,184.00,304.88,13.12,2.70,41.41,100.00,160.07,18.63,6.36,6.19,2,22402510;75114000,The image shows the food category of a mixed meal with a portion of cooked meat with shredded vegetables and a side salad containing leafy greens and broccoli. Additional details include the presence ,
dish_1566851616,MIA24,248.00,300.78,11.60,36.14,14.51,187.00,313.01,12.98,33.96,14.89,61.00,12.23,1.38,2.18,0.38,3,58106200;72116150;72201211,"The image shows the food category of a meal plate with a slice of cheese pizza, a portion of Caesar salad with romaine lettuce and croutons, and steamed broccoli florets. Additional details include th",
dish_1566920339,MIA24,730.00,449.53,5.04,32.09,58.56,200.00,206.50,5.21,31.43,9.20,530.00,243.03,0.16,0.66,49.36,2,73403010;31103010,The image shows the food category of a plate with cooked sweet potatoes and scrambled or chopped boiled eggs. Additional details include the sweet potatoes being cut into chunks and the eggs appearing,
