dish_id,method,gt_mass_g,gt_calories,gt_fat_g,gt_carb_g,gt_protein_g,pred_mass_g,pred_calories,pred_fat_g,pred_carb_g,pred_protein_g,ae_mass_g,ae_calories,ae_fat_g,ae_carb_g,ae_protein_g,num_food_codes,food_codes,description,error
dish_1558639526,DietAI24,78.00,31.98,0.16,7.80,0.70,90.00,71.10,4.11,8.52,0.84,12.00,39.12,3.96,0.72,0.14,1,73102190,"The image shows the food category of cooked or steamed carrots, sliced into pieces. Additional details include served on a white square plate; not specified subcategory as to seasoning or preparation ",
dish_1558641287,DietAI24,64.00,11.52,0.13,2.50,0.58,480.00,96.00,1.49,19.39,3.94,416.00,84.48,1.36,16.90,3.36,1,74101000,The image shows the food category of fresh cherry tomatoes. Additional details include serving style on a white square plate; not specified subcategory as to preparation or cuisine type.,
dish_1559157919,DietAI24,39.00,37.09,3.33,1.52,0.99,57.00,36.08,2.01,1.50,3.11,18.00,1.01,1.32,0.02,2.12,2,75113080;75147000,"The image shows the food category of a fresh salad with leafy greens, blueberries, and walnuts. Additional details include mixed greens with spinach and arugula; presence of fresh fruit (blueberries);",
dish_1559239256,DietAI24,128.00,60.16,0.13,15.36,1.15,85.00,45.05,0.26,11.34,0.69,43.00,15.11,0.14,4.02,0.46,1,61100600,The image shows the food category of a whole orange or tangerine. Additional details include being served on a white square plate; not specified subcategory as to variety or preparation.,
dish_1560203400,DietAI24,104.00,293.28,12.48,33.28,12.48,139.00,398.93,17.49,44.26,15.97,35.00,105.65,5.01,10.98,3.49,1,58106560,The image shows the food category of pepperoni pizza with visible pepperoni slices and melted cheese on a square crust. Additional details include a thick crust style and serving on a white plate.,
dish_1560526514,DietAI24,224.00,183.25,8.40,26.03,3.42,70.00,11.90,0.20,1.84,1.13,154.00,171.35,8.20,24.19,2.29,1,75114000,"The image shows the food category of a mixed salad with fresh fruits and roasted potatoes. Additional details include visible ingredients such as spinach, mixed leafy greens, strawberries, pineapple c",
dish_1560526552,DietAI24,319.00,359.24,21.78,28.02,14.59,0.00,0.00,0.00,0.00,0.00,319.00,359.24,21.78,28.02,14.59,0,,"The image shows the food category of a mixed breakfast plate including scrambled eggs, roasted potatoes, fresh fruit (pineapple and strawberries), and a leafy green salad with some cooked vegetables. ",No valid food codes found
dish_1560801797,DietAI24,96.00,25.66,0.70,4.11,1.34,166.00,42.90,0.21,10.39,1.90,70.00,17.24,0.49,6.28,0.55,2,73302010;75107000,"The image shows the food category of vegetables, including pieces of cauliflower and what appears to be roasted or cooked squash or pumpkin. Additional details include a simple serving style on a whit",
dish_1560801883,DietAI24,315.00,512.11,22.15,34.63,42.56,313.00,551.97,28.88,50.42,23.93,2.00,39.86,6.73,15.79,18.63,2,27341055;58106720,"The image shows the food category of a mixed plate with pizza (pepperoni and cheese), roasted or grilled chicken pieces, cauliflower, roasted or grilled vegetables (including squash and possibly plant",
dish_1560975628,DietAI24,296.00,348.27,12.46,32.35,27.61,450.00,561.00,20.27,75.11,19.48,154.00,212.73,7.80,42.75,8.13,2,27345510;58161524,"The image shows the food category of a mixed meal plate including a green leafy salad, broccoli florets, a slice of cheese-topped baked dish (likely lasagna or casserole), cooked chicken pieces, and a",
dish_1561393764,DietAI24,182.00,280.80,20.10,5.52,19.07,95.00,164.35,12.90,1.30,10.73,87.00,116.45,7.20,4.22,8.33,1,32130830,"The image shows the food category of a breakfast plate with scrambled eggs, cooked broccoli, and crispy bacon strips. Additional details include the broccoli being roasted or sautéed; the bacon appear",
dish_1561405356,DietAI24,176.00,206.65,4.20,7.50,33.41,120.00,141.60,9.34,3.46,11.59,56.00,65.05,5.14,4.04,21.82,1,27440110,"The image shows the food category of a cooked chicken breast served with steamed broccoli and some leafy greens, possibly arugula. Additional details include a light sauce or seasoning on the chicken ",
dish_1561405411,DietAI24,282.00,332.06,8.51,25.68,37.23,230.00,189.50,0.45,38.82,7.16,52.00,142.56,8.06,13.14,30.07,2,56207160;75114000,"The image shows the food category of a mixed salad plate with couscous, leafy greens, broccoli, and what appears to be a piece of cooked chicken or fish. Additional details include the presence of chi",
dish_1561574815,DietAI24,89.00,74.85,6.64,3.25,1.65,70.00,11.90,0.20,1.84,1.13,19.00,62.95,6.44,1.41,0.53,1,75114000,"The image shows the food category of a mixed green salad with visible ingredients including leafy greens, cherry tomatoes, sliced red onions, and a sprinkling of grated cheese. Additional details incl",
dish_1561578839,DietAI24,214.00,362.15,14.81,43.35,14.90,349.00,856.03,35.82,97.26,36.86,135.00,493.88,21.01,53.90,21.96,2,58106330;14620310,"The image shows the food category of a meal plate with cheese pizza slices, a green leafy salad with olives, and roasted vegetables including broccoli and cherry tomatoes. Additional details include t",
dish_1561661324,DietAI24,75.00,33.00,1.57,3.23,2.40,30.00,22.80,1.07,2.03,1.27,45.00,10.20,0.50,1.19,1.13,1,72116150,The image shows the food category of a salad with visible ingredients including chopped romaine lettuce and shaved cheese. Additional details include a creamy dressing coating the salad; not specified,
dish_1561662160,DietAI24,36.00,41.84,3.38,2.75,0.63,20.00,3.40,0.06,0.53,0.32,16.00,38.44,3.32,2.23,0.31,1,75114000,The image shows the food category of a salad with mixed greens and pieces of tomato. Additional details include the presence of leafy lettuce varieties and a light sprinkling of a grain or seed-like i,
dish_1561667238,DietAI24,165.00,268.80,12.34,15.25,23.48,200.00,262.00,10.36,30.02,11.54,35.00,6.80,1.98,14.77,11.94,1,27315410,The image shows the food category of a plated meal consisting of cooked meat topped with white rice and a side of salad with croutons. Additional details include the salad containing leafy greens and ,
dish_1561741063,DietAI24,135.00,132.30,5.80,4.59,14.85,210.00,205.80,9.03,7.10,23.35,75.00,73.50,3.22,2.51,8.50,1,14201010,"The image shows the food category of cottage cheese in a white bowl. Additional details include visible curds and a creamy texture; not specified subcategory as to fat content, flavor, or brand.",
dish_1561741090,DietAI24,221.00,161.54,5.98,11.47,15.54,316.00,201.44,4.59,18.51,22.00,95.00,39.90,1.39,7.04,6.47,2,14202010;63109010,The image shows the food category of a bowl of cottage cheese topped with cantaloupe melon chunks. Additional details include fresh fruit topping; served in a white bowl; not specified subcategory as ,
dish_1562009810,DietAI24,108.00,119.88,0.97,24.84,2.81,100.00,124.00,2.44,22.49,2.38,8.00,4.12,1.47,2.35,0.43,1,58160640,The image shows the food category of cooked rice with small visible pieces of vegetables. Additional details include a plain serving style on a white square plate; not specified subcategory as to seas,
dish_1562168648,DietAI24,32.00,41.59,2.23,4.92,1.02,16.00,2.24,0.02,0.47,0.18,16.00,39.35,2.21,4.46,0.84,1,75113000,"The image shows the food category of leafy greens, specifically a small portion of lettuce leaves. Additional details include the serving style as a small, loose pile on a white square plate; not spec",
dish_1562168800,DietAI24,242.00,237.52,9.34,36.31,3.83,160.00,209.60,7.79,32.11,3.79,82.00,27.92,1.55,4.20,0.03,1,71104070,"The image shows the food category of a mixed plate with roasted potatoes, fresh fruit (strawberries and blueberries), cucumber pieces, and leafy green lettuce. Additional details include a serving sty",
dish_1562617703,DietAI24,110.00,179.63,6.49,26.95,4.51,175.00,315.00,8.45,51.55,8.37,65.00,135.37,1.96,24.60,3.86,1,13110200,The image shows the food category of soft serve ice cream with a swirl of chocolate and vanilla flavors. Additional details include serving style in a small white cup.,
dish_1562691032,DietAI24,415.00,419.68,22.04,39.06,17.95,140.00,180.60,12.19,1.99,15.60,275.00,239.08,9.85,37.07,2.35,1,32130440,"The image shows the food category of a breakfast plate including scrambled eggs, roasted potatoes, roasted broccoli, and a fruit mix of strawberries, blueberries, and pineapple chunks. Additional deta",
dish_1562703447,DietAI24,259.00,384.43,17.96,37.65,18.51,190.00,291.50,13.24,31.17,12.80,69.00,92.93,4.72,6.48,5.71,2,75114000;58106345,The image shows the food category of a mixed green salad served with a slice of pizza. Additional details include leafy greens as the main salad ingredient; the pizza slice appears to have cheese and ,
dish_1562774099,DietAI24,40.00,51.99,2.79,6.16,1.28,35.00,5.95,0.10,0.92,0.56,5.00,46.04,2.69,5.24,0.72,1,75114000,The image shows the food category of a leafy green salad with mixed greens. Additional details include the presence of some seasoning or dressing visible on the leaves; not specified subcategory as to,
dish_1562788568,DietAI24,230.00,289.20,11.74,46.92,11.43,250.00,345.00,10.87,48.62,12.64,20.00,55.80,0.87,1.70,1.21,2,58161504;27345010,"The image shows the food category of a mixed meal plate including cooked brown rice with vegetables (carrots and leafy greens), two pieces of corn on the cob, and a piece of cooked chicken. Additional",
dish_1563218408,DietAI24,87.00,245.34,10.44,27.84,10.44,182.00,602.42,32.05,52.78,25.50,95.00,357.08,21.61,24.94,15.06,1,58106550,"The image shows the food category of pizza, specifically two small rectangular slices with visible pepperoni and melted cheese. Additional details include serving style on a metal plate; not specified",
dish_1563294987,DietAI24,18.00,97.38,7.56,0.25,6.66,8.00,37.44,2.81,0.14,2.71,10.00,59.94,4.75,0.12,3.95,1,22601000,The image shows the food category of cooked bacon. Additional details include a single strip of bacon served on a white square plate; not specified subcategory as to fat or sodium level.,
dish_1563295016,DietAI24,79.00,127.88,7.62,8.18,6.96,102.00,101.16,4.32,12.01,4.56,23.00,26.72,3.30,3.83,2.41,2,22601000;63141200,The image shows the food category of a small serving of cooked bacon and fresh pineapple chunks. Additional details include the bacon being fried or grilled and the pineapple cut into bite-sized piece,
dish_1563295044,DietAI24,158.00,241.98,12.17,25.85,7.93,16.00,74.88,5.61,0.27,5.43,142.00,167.10,6.55,25.57,2.51,1,22601000,"The image shows the food category of a breakfast plate with cooked bacon, roasted or fried potato chunks, and pineapple pieces. Additional details include a serving style on a white square plate; not ",
dish_1563551194,DietAI24,400.00,471.64,14.05,57.67,27.84,0.00,0.00,0.00,0.00,0.00,400.00,471.64,14.05,57.67,27.84,0,,"The image shows the food category of a breakfast plate including scrambled eggs, roasted or fried diced potatoes, a toasted English muffin with cream cheese, and a serving of chia pudding topped with ",No valid food codes found
dish_1563909469,DietAI24,64.00,72.40,6.91,2.25,1.36,30.00,25.20,1.52,0.63,2.11,34.00,47.20,5.39,1.62,0.74,1,75147000,The image shows the food category of a leafy green salad with spinach leaves and some pieces of what appears to be sliced garlic or onion. Additional details include a small portion size served on a w,
dish_1563984167,DietAI24,608.00,291.68,1.22,14.18,48.29,33.00,17.16,0.00,0.78,3.52,575.00,274.52,1.22,13.41,44.77,1,31108110,The image shows the food category of a simple plate of chopped boiled egg whites and sliced cantaloupe melon. Additional details include the egg whites being plain and unseasoned; the cantaloupe is cu,
dish_1564427455,DietAI24,218.00,354.26,23.96,4.21,31.22,100.00,62.00,1.35,2.74,10.22,118.00,292.26,22.61,1.47,21.00,1,27446300,"The image shows the food category of a salad or mixed bowl containing chopped cooked chicken breast, cherry tomatoes, and Kalamata olives. Additional details include the ingredients being raw or minim",
dish_1564428102,DietAI24,107.00,133.22,12.71,4.45,2.43,29.00,17.87,0.17,3.27,1.11,78.00,115.35,12.54,1.18,1.32,2,75113080;75111500,"The image shows the food category of leafy greens, specifically a small portion of fresh arugula leaves. Additional details include the presence of small pieces of chopped garlic mixed with the arugul",
dish_1564428181,DietAI24,320.00,510.05,32.32,20.96,34.31,294.00,490.32,23.14,45.16,25.15,26.00,19.73,9.18,24.21,9.15,2,58148170;27446300,The image shows the food category of a meal plate with cooked chicken pieces and a fresh green salad. Additional details include shredded cheese on the chicken; the salad contains leafy greens and som,
dish_1564675380,DietAI24,23.00,87.33,6.46,0.71,6.69,14.00,51.52,3.62,0.59,4.13,9.00,35.81,2.84,0.12,2.56,1,24208500,The image shows the food category of a single strip of cooked bacon. Additional details include a crispy texture and a serving style placed on a white square plate.,
dish_1564687046,DietAI24,308.00,374.79,29.07,20.46,33.69,200.00,216.10,8.43,7.14,29.57,108.00,158.69,20.64,13.32,4.11,2,27111000;99997545,The image shows the food category of a meal with cooked green beans and a portion of cooked meat with a tomato-based sauce. Additional details include the meat being sliced and the tomato sauce appear,
dish_1564689219,DietAI24,474.00,506.85,28.08,44.73,27.23,560.00,505.90,30.43,43.01,20.21,86.00,0.95,2.35,1.71,7.02,3,41311030;75114000;41812500,"The image shows the food category of a mixed salad plate with ingredients including leafy greens, chickpeas, tofu cubes, black lentils, cucumber slices, and some shredded carrots. Additional details i",
dish_1564773826,DietAI24,56.00,10.08,0.11,2.18,0.50,360.00,72.00,1.12,14.54,2.95,304.00,61.92,1.00,12.36,2.45,1,74101000,"The image shows the food category of small tomatoes, including grape or cherry tomatoes. Additional details include raw preparation and serving on a plain white plate.",
dish_1565020796,DietAI24,99.00,90.60,3.54,0.75,12.06,49.00,92.04,5.61,1.05,8.95,50.00,1.44,2.07,0.30,3.11,2,32400080;22601000,"The image shows the food category of breakfast items, including scrambled or chopped eggs and two strips of cooked bacon. Additional details include the eggs being white in color, suggesting they migh",
dish_1565020895,DietAI24,416.00,348.13,10.23,43.38,20.96,240.00,381.90,19.12,44.95,12.32,176.00,33.77,8.88,1.58,8.64,3,14204020;63402990;43108010,"The image shows the food category of a mixed breakfast or snack plate including raspberries, blackberries, roasted sweet potatoes, bacon, chia seed pudding with grapes, and small pieces of white chees",
dish_1565035858,DietAI24,531.00,375.23,6.71,23.68,55.42,180.00,212.40,14.00,5.18,17.39,351.00,162.83,7.30,18.49,38.03,1,27440110,The image shows the food category of a mixed plate of fresh and cooked vegetables with diced cooked chicken breast. Additional details include diced grilled or roasted chicken breast; raw grape tomato,
dish_1565117429,DietAI24,147.00,390.87,13.82,49.25,16.46,120.00,276.00,17.60,9.14,20.23,27.00,114.87,3.79,40.10,3.77,1,14620300,The image shows the food category of cheese pizza slices with visible melted cheese and tomato sauce on a baked crust. Additional details include three small square or triangular slices served on a wh,
dish_1565118700,DietAI24,49.00,16.66,0.22,3.11,1.25,30.00,17.40,1.02,1.51,0.87,19.00,0.74,0.80,1.61,0.38,1,72118220,The image shows the food category of cooked leafy greens with some chopped vegetables or stems. Additional details include a small portion size served on a white square plate; not specified subcategor,
dish_1565638599,DietAI24,279.00,368.70,15.76,23.10,32.86,0.00,0.00,0.00,0.00,0.00,279.00,368.70,15.76,23.10,32.86,0,,"The image shows the food category of a plated meal with cooked asparagus, a grain dish (likely bulgur or couscous with vegetables), and pieces of cooked chicken. Additional details include the chicken",No valid food codes found
dish_1565711498,DietAI24,229.00,246.83,15.96,10.57,16.58,100.00,92.00,5.09,2.49,9.13,129.00,154.83,10.87,8.08,7.45,1,32400300,The image shows the food category of a breakfast plate with scrambled eggs and roasted Brussels sprouts. Additional details include a simple serving style on a white square plate; not specified subcat,
dish_1565711570,DietAI24,324.00,603.83,41.26,34.24,26.62,150.00,249.00,19.84,2.02,15.78,174.00,354.83,21.41,32.21,10.84,1,32130430,"The image shows the food category of a breakfast plate including scrambled eggs, cooked Brussels sprouts, hash browns, and strips of cooked bacon. Additional details include a typical American breakfa",
dish_1565811139,DietAI24,416.00,902.20,62.63,9.06,74.73,424.00,689.66,48.79,34.16,29.23,8.00,212.54,13.85,25.10,45.50,4,75147000;73101110;75140500;14202020,"The image shows the food category of a fresh vegetable salad with spinach leaves, shredded carrots, broccoli florets, and crumbled white cheese. Additional details include raw preparation and a mix of",
dish_1565898331,DietAI24,100.00,155.99,6.52,4.59,18.11,40.00,42.80,0.12,9.08,1.07,60.00,113.19,6.40,4.49,17.05,1,58160560,The image shows the food category of a small portion of cooked rice with spinach and a piece of fish or meat. Additional details include the food being served on a white square plate; not specified su,
dish_1566501575,DietAI24,54.00,251.69,15.55,26.89,3.35,135.00,237.60,6.94,0.01,40.92,81.00,14.09,8.61,26.88,37.57,1,26153120,"The image shows the food category of a mixed bowl containing shredded tuna, cherry tomatoes, shredded carrots, almonds, and a dark brown chunk that may be a piece of bread or meat. Additional details ",
dish_1566850031,DietAI24,662.00,616.77,19.20,25.78,84.64,226.00,422.62,29.58,8.90,31.21,436.00,194.15,10.39,16.88,53.43,1,27446240,"The image shows the food category of a salad with chopped grilled chicken, grape tomatoes, shredded carrots, sliced red onions, and a creamy dressing. Additional details include a mixed vegetable base",
dish_1566850099,DietAI24,112.00,113.06,10.69,4.14,1.53,85.00,66.95,4.15,6.10,1.55,27.00,46.11,6.54,1.95,0.02,2,75114000;75140510,"The image shows the food category of a mixed green salad with visible ingredients including broccoli, lettuce, shredded carrots, and possibly some other leafy greens. Additional details include a serv",
dish_1566850142,DietAI24,284.00,464.95,31.75,9.05,35.23,250.00,220.70,12.31,7.24,21.66,34.00,244.25,19.44,1.81,13.56,2,27410210;75114000,The image shows the food category of a mixed meal with a portion of cooked meat mixed with shredded vegetables and a side of fresh green salad including broccoli and leafy greens. Additional details i,
dish_1566851616,DietAI24,248.00,300.78,11.60,36.14,14.51,149.00,344.19,13.84,42.82,14.41,99.00,43.41,2.24,6.68,0.10,1,58109060,"The image shows the food category of a meal plate with a slice of cheese pizza, a portion of Caesar salad with romaine lettuce and croutons, and steamed broccoli florets. Additional details include th",
dish_1566920339,DietAI24,730.00,449.53,5.04,32.09,58.56,200.00,236.50,11.41,25.71,8.17,530.00,213.03,6.37,6.38,50.40,2,31103010;73405000,The image shows the food category of a plate with cooked sweet potatoes and scrambled or chopped boiled eggs. Additional details include the sweet potatoes being cut into chunks and the eggs appearing,
