dish_id,method,gt_mass_g,gt_calories,gt_fat_g,gt_carb_g,gt_protein_g,pred_mass_g,pred_calories,pred_fat_g,pred_carb_g,pred_protein_g,ae_mass_g,ae_calories,ae_fat_g,ae_carb_g,ae_protein_g,num_food_codes,food_codes,description,error
dish_1558635489,MIA24,74.00,78.51,1.78,16.28,2.29,110.00,94.60,1.49,20.50,3.59,36.00,16.09,0.29,4.22,1.29,1,75216111,"The image shows the food category of a vegetable snack or side dish. The visible ingredients include two pieces of corn on the cob, each cut crosswise into circular segments. The cooking method appear",
dish_1558639526,MIA24,78.00,31.98,0.16,7.80,0.70,120.00,51.60,0.30,11.94,1.16,42.00,19.62,0.14,4.14,0.46,1,73102211,The image shows the food category of a vegetable side dish. The visible ingredients include sliced carrots. The cooking method appears to be steamed or boiled. Additional details include no visible sa,
dish_1558641287,MIA24,64.00,11.52,0.13,2.50,0.58,480.00,96.00,1.49,19.39,3.94,416.00,84.48,1.36,16.90,3.36,1,74101000,"The image shows the food category of a fresh vegetable dish. The visible ingredients include several grape or cherry tomatoes on a white plate. The cooking method appears to be none, as the tomatoes a",
dish_1559157919,MIA24,39.00,37.09,3.33,1.52,0.99,76.00,111.40,9.49,5.17,3.58,37.00,74.31,6.16,3.65,2.59,6,72125100;75113080;63203010;42116000;82104000;64401000,"The image shows the food category of a salad. The visible ingredients include fresh spinach leaves, mixed greens (likely arugula), blueberries, and walnuts. The cooking method appears to be raw/fresh ",
dish_1559239256,MIA24,128.00,60.16,0.13,15.36,1.15,120.00,60.00,0.17,14.14,1.10,8.00,0.16,0.04,1.22,0.05,1,61119010,The image shows the food category of fruit. The visible ingredient is a whole orange or tangerine placed on a white plate. There is no apparent cooking method as it is fresh and raw. Additional detail,
dish_1560203400,MIA24,104.00,293.28,12.48,33.28,12.48,170.00,752.80,65.74,3.64,34.95,66.00,459.52,53.26,29.64,22.47,4,51101050;74404010;14107010;25221250,"The image shows the food category of a pizza dish. The visible ingredients include a slice of pizza crust, melted cheese, tomato sauce, and pepperoni slices. The cooking method appears to be baked. Ad",
dish_1560526514,MIA24,224.00,183.25,8.40,26.03,3.42,225.00,83.00,0.50,19.14,2.31,1.00,100.25,7.90,6.89,1.11,5,72125100;75114000;63223020;63141010;64401000,"The image shows the food category of a mixed salad plate with roasted potatoes. The visible ingredients include fresh spinach leaves, mixed salad greens, sliced strawberries, pineapple chunks, and roa",
dish_1560526552,MIA24,319.00,359.24,21.78,28.02,14.59,396.00,463.40,25.84,42.06,18.20,77.00,104.16,4.06,14.04,3.61,8,32130010;71104130;25221405;75119000;72122100;63141010;63223020;63203010,"The image shows the food category of a breakfast or brunch plate. The visible ingredients include scrambled eggs, mixed leafy greens with some fruit pieces (strawberries and blueberries), pineapple ch",
dish_1560801797,MIA24,96.00,25.66,0.70,4.11,1.34,41.00,20.57,1.36,1.90,0.69,55.00,5.09,0.66,2.21,0.65,2,75214027;75233020,The image shows the food category of a vegetable dish. The visible ingredients include small pieces of cauliflower and what appears to be roasted or cooked slices of potato and possibly a small piece ,
dish_1560801883,MIA24,315.00,512.11,22.15,34.63,42.56,321.00,633.50,31.56,36.68,50.79,6.00,121.39,9.42,2.05,8.23,9,58109015;14108020;25221260;24127501;73303010;75107000;82104000;74206000;75114000,"The image shows the food category of a mixed plate with various items. The visible ingredients include a slice of pepperoni pizza, pieces of cooked chicken (possibly breaded), roasted or grilled squas",
dish_1560975628,MIA24,296.00,348.27,12.46,32.35,27.61,462.00,770.82,43.52,62.85,35.58,166.00,422.55,31.05,30.50,7.97,10,72116000;83102000;99997220;24122130;74402010;58109020;14107010;56205008;74101000;41420010,"The image shows the food category of a mixed meal plate. The visible ingredients include a green leafy salad with a creamy dressing, steamed broccoli florets, a slice of cheesy topped pizza or flatbre",
dish_1561393764,MIA24,182.00,280.80,20.10,5.52,19.07,196.00,317.08,23.55,5.69,20.03,14.00,36.28,3.46,0.17,0.96,4,72201224;22601040;32130020;81101000,"The image shows the food category of a breakfast plate. The visible ingredients include cooked broccoli, crispy bacon strips, and scrambled eggs. The cooking method appears to be roasted or sautéed fo",
dish_1561405356,MIA24,176.00,206.65,4.20,7.50,33.41,215.00,232.35,8.68,6.11,31.85,39.00,25.70,4.48,1.39,1.56,7,24132231;82104000;75503085;64401000;75111500;41420300;72201212,"The image shows the food category of a protein and vegetable dish. The visible ingredients include cooked chicken pieces, broccoli florets, and some green leafy herbs or salad greens (possibly arugula",
dish_1561405411,MIA24,282.00,332.06,8.51,25.68,37.23,335.00,395.75,5.02,42.32,43.63,53.00,63.69,3.50,16.65,6.40,10,56207160;75122200;75122100;62125100;72201211;75113080;41302020;24122131;82104000;61204010,"The image shows the food category of a mixed grain and vegetable dish. The visible ingredients include yellow couscous with some dark and red bits (possibly dried fruit or spices), broccoli florets, l",
dish_1561574815,MIA24,89.00,74.85,6.64,3.25,1.65,169.00,215.55,19.61,5.40,4.38,80.00,140.70,12.97,2.15,2.72,7,75114000;74101000;75117020;75111000;14104400;82104000;64401000,"The image shows the food category of a salad. The visible ingredients include mixed leafy greens, cherry tomatoes, sliced red onions, cucumber pieces, and crumbled cheese (possibly feta). The cooking ",
dish_1561578839,MIA24,214.00,362.15,14.81,43.35,14.90,435.00,802.65,42.05,64.72,40.98,221.00,440.50,27.24,21.37,26.07,9,58107207;14107010;89901050;72201223;99997410;82104000;75114000;83106000;83105500,"The image shows the food category of a mixed plate meal. The visible ingredients include two small rectangular slices of cheese pizza, roasted broccoli, roasted cherry tomatoes, a small portion of mix",
dish_1561661324,MIA24,75.00,33.00,1.57,3.23,2.40,42.00,34.65,2.01,1.87,2.55,33.00,1.65,0.44,1.35,0.15,5,72116000;14108010;82104000;31110010;26101110,"The image shows the food category of a salad. The visible ingredients include romaine lettuce and shaved Parmesan cheese. The cooking method appears to be none, as the salad is raw and fresh. Addition",
dish_1561662160,MIA24,36.00,41.84,3.38,2.75,0.63,95.00,47.65,0.19,9.41,1.75,59.00,5.81,3.18,6.65,1.12,7,75114000;75122200;56207160;24123301;82104000;64401000;61204010,"The image shows the food category of a salad. The visible ingredients include mixed leafy greens, red bell pepper pieces, quinoa or couscous, and a piece of grilled or roasted chicken. The cooking met",
dish_1561667238,MIA24,165.00,268.80,12.34,15.25,23.48,213.00,439.50,26.22,20.07,29.62,48.00,170.70,13.87,4.82,6.13,6,22210300;56205008;72116000;51185000;14108010;83102000,"The image shows the food category of a plated meal with meat and a side salad. The visible ingredients include cooked slices of meat topped with white rice, a Caesar salad consisting of romaine lettuc",
dish_1561741063,MIA24,135.00,132.30,5.80,4.59,14.85,110.00,90.20,2.53,4.74,12.10,25.00,42.10,3.27,0.15,2.75,1,14204010,"The image shows the food category of a dairy product. The visible ingredients include cottage cheese. The cooking method appears to be none, as cottage cheese is usually a fresh, uncooked dairy produc",
dish_1561741090,MIA24,221.00,161.54,5.98,11.47,15.54,225.00,138.30,2.95,13.74,14.06,4.00,23.24,3.03,2.27,1.48,2,63109010;14204010,The image shows the food category of a fruit and dairy bowl. The visible ingredients include chunks of cantaloupe melon and a creamy white base that appears to be yogurt or cottage cheese. The cooking,
dish_1562009810,MIA24,108.00,119.88,0.97,24.84,2.81,90.00,109.80,0.86,22.91,2.46,18.00,10.08,0.11,1.93,0.35,2,56205018;73102190,The image shows the food category of a rice dish. The visible ingredients include cooked brown rice with small pieces of what appears to be carrot. The cooking method appears to be boiled or steamed. ,
dish_1562168648,MIA24,32.00,41.59,2.23,4.92,1.02,55.00,71.00,2.96,4.92,6.21,23.00,29.41,0.73,0.00,5.19,5,75113000;57227000;63200100;83106000;20000000,The image shows the food category of a salad. The visible ingredients include leafy green lettuce and a bit of what appears to be grilled or cooked meat underneath the lettuce. The cooking method appe,
dish_1562168800,MIA24,242.00,237.52,9.34,36.31,3.83,263.00,236.91,7.50,39.74,3.73,21.00,0.61,1.84,3.42,0.10,7,71104130;82104000;72116000;63223020;63203010;63109010;83106000,"The image shows the food category of a mixed plate with vegetables and fruit. The visible ingredients include roasted or baked potato chunks, leafy green lettuce, sliced strawberries, blueberries, and",
dish_1562617703,MIA24,110.00,179.63,6.49,26.95,4.51,270.00,430.50,15.31,66.14,11.17,160.00,250.87,8.82,39.19,6.66,2,11460500;11460510,"The image shows the food category of a dessert or frozen treat. The visible ingredients include soft-serve ice cream with two flavors, likely vanilla and chocolate, swirled together in a cup. The cook",
dish_1562691032,MIA24,415.00,419.68,22.04,39.06,17.95,430.00,431.75,19.69,46.01,19.69,15.00,12.07,2.35,6.95,1.75,7,32130070;71104070;72201223;82104000;63223020;63203010;63141010,"The image shows the food category of a breakfast plate. The visible ingredients include scrambled eggs, roasted or fried potato chunks, cooked broccoli florets, sliced strawberries, blueberries, and d",
dish_1562703447,MIA24,259.00,384.43,17.96,37.65,18.51,180.00,378.70,20.23,30.63,18.52,79.00,5.73,2.28,7.03,0.01,4,58107212;14107010;89901050;75122100,"The image shows the food category of a mixed plate with pizza and salad. The visible ingredients include a slice of pizza with cheese, tomato sauce, and green pepper pieces, alongside a leafy green sa",
dish_1562774099,MIA24,40.00,51.99,2.79,6.16,1.28,80.00,107.95,5.26,13.30,2.36,40.00,55.96,2.47,7.15,1.08,6,75113000;72125100;83106000;57227000;63219000;63201010,The image shows the food category of salad. The visible ingredients include mixed leafy greens such as lettuce and possibly baby spinach with some small bits that could be seeds or nuts. The cooking m,
dish_1562788568,MIA24,230.00,289.20,11.74,46.92,11.43,270.00,302.70,6.81,38.37,20.74,40.00,13.50,4.93,8.55,9.31,4,24122130;58161502;99997210;99997310,"The image shows the food category of a mixed meal plate. The visible ingredients include cooked brown rice, green leafy vegetables, carrots, a piece of cooked chicken, and two pieces of corn on the co",
dish_1563218408,MIA24,87.00,245.34,10.44,27.84,10.44,320.00,925.10,58.89,56.74,44.05,233.00,679.76,48.45,28.90,33.61,5,58109015;89901050;14107010;25221250;82104000,"The image shows the food category of a pizza dish. The visible ingredients include a pizza crust, tomato sauce, melted cheese, and slices of pepperoni. The cooking method appears to be baked. Addition",
dish_1563294987,MIA24,18.00,97.38,7.56,0.25,6.66,12.00,56.16,4.21,0.20,4.07,6.00,41.22,3.35,0.05,2.59,1,22601000,The image shows the food category of a meat dish. The visible ingredient is a piece of cooked bacon. The cooking method appears to be fried or pan-cooked. Additional details include the bacon being cr,
dish_1563295016,MIA24,79.00,127.88,7.62,8.18,6.96,106.00,119.88,5.72,12.08,5.91,27.00,8.00,1.90,3.90,1.05,2,22601000;63141010,The image shows the food category of a small plated meal or snack. The visible ingredients include a piece of cooked bacon and several chunks of pineapple. The cooking method appears to be fried or pa,
dish_1563295044,MIA24,158.00,241.98,12.17,25.85,7.93,296.00,371.33,15.00,50.76,10.15,138.00,129.35,2.84,24.92,2.22,5,22601000;82104000;73403020;71104070;63141010,"The image shows the food category of a breakfast plate. The visible ingredients include cooked bacon strips, roasted or fried diced potatoes, and pieces of pineapple. The cooking method appears to be ",
dish_1563551194,MIA24,400.00,471.64,14.05,57.67,27.84,489.00,832.10,40.54,84.12,37.84,89.00,360.46,26.50,26.45,10.00,10,31108010;82104000;71104130;51180010;14301010;43108010;11411400;11411100;63107010;63200100,"The image shows the food category of a breakfast plate. The visible ingredients include scrambled eggs, roasted or fried cubed potatoes, a slice of toast with a spread of cream cheese or similar white",
dish_1563909469,MIA24,64.00,72.40,6.91,2.25,1.36,65.00,30.55,0.26,6.32,1.87,1.00,41.85,6.64,4.07,0.50,5,72125100;75201013;64401000;82104000;75506010,The image shows the food category of a salad. The visible ingredients include fresh spinach leaves and small pieces of a pale yellow vegetable or fruit that could be artichoke hearts or cabbage. The c,
dish_1563984167,MIA24,608.00,291.68,1.22,14.18,48.29,255.00,120.00,0.16,11.22,18.34,353.00,171.68,1.05,2.96,29.94,2,31108110;63109010,The image shows the food category of a simple breakfast or snack plate. The visible ingredients include chopped hard-boiled egg whites and chunks of cantaloupe melon. The cooking method appears to be ,
dish_1564427455,MIA24,218.00,354.26,23.96,4.21,31.22,216.00,212.40,8.47,5.69,27.70,2.00,141.86,15.48,1.48,3.52,3,24123301;74101000;75510020,"The image shows the food category of a salad. The visible ingredients include chopped grilled chicken breast, cherry tomatoes, and kalamata olives. The cooking method appears to be grilled for the chi",
dish_1564428102,MIA24,107.00,133.22,12.71,4.45,2.43,35.00,20.55,0.20,3.73,1.31,72.00,112.67,12.50,0.71,1.12,5,75113080;42112100;75111500;82104000;75506010,The image shows the food category of a salad. The visible ingredients include leafy greens (likely arugula or similar greens) and small pieces of a light-colored ingredient that could be chopped nuts ,
dish_1564428181,MIA24,320.00,510.05,32.32,20.96,34.31,385.00,657.45,31.45,25.47,64.84,65.00,147.40,0.87,4.51,30.54,10,24162130;89902050;75119000;75111500;75119000;82104000;22400100;56204005;51301010;14104100,"The image shows the food category of a plated meal. The visible ingredients include a piece of seasoned chicken wing, a serving of baked pasta with cheese and possibly some meat or vegetables, and a s",
dish_1564675380,MIA24,23.00,87.33,6.46,0.71,6.69,451.40,2012.37,154.06,138.69,18.88,428.40,1925.04,147.60,137.97,12.18,7,53391000;81101000;91101010;53391000;31101010;53342000;91723030,"The image shows the food category of a baked or grilled dessert item. The visible ingredient is a rectangular tart or pastry with a ridged edge, likely a chocolate or caramel tart based on its color a",
dish_1564687046,MIA24,308.00,374.79,29.07,20.46,33.69,425.00,795.80,46.42,17.18,75.11,117.00,421.01,17.35,3.28,41.42,10,21102160;75205044;82104000;26100120;74401010;75117020;75109550;75121000;75122100;75109550,"The image shows the food category of a plated meal with meat and vegetables. The visible ingredients include slices of cooked beef steak, cooked green beans, and two pieces of fish topped with a tomat",
dish_1564689219,MIA24,474.00,506.85,28.08,44.73,27.23,375.00,324.20,17.39,25.15,20.50,99.00,182.65,10.69,19.58,6.73,10,72125100;75114000;41302080;73101010;75111000;75117020;41420010;41305000;82104000;64401000,"The image shows the food category of a salad plate. The visible ingredients include leafy greens (such as spinach and mixed salad greens), chickpeas, cubes of tofu, lentils, cucumber slices, red onion",
dish_1564773826,MIA24,56.00,10.08,0.11,2.18,0.50,48.00,9.60,0.15,1.94,0.39,8.00,0.48,0.04,0.24,0.11,1,74101000,The image shows the food category of vegetables/snacks. The visible ingredients include several small grape or cherry tomatoes. The cooking method appears to be raw/fresh as they are whole and uncut. ,
dish_1565020796,MIA24,99.00,90.60,3.54,0.75,12.06,56.00,194.48,11.82,9.26,11.77,43.00,103.88,8.28,8.51,0.29,2,22601040;14110050,The image shows the food category of a simple protein dish. The visible ingredients include crumbled white cheese (likely feta or paneer) and two strips of cooked bacon. The cooking method appears to ,
dish_1565020895,MIA24,416.00,348.13,10.23,43.38,20.96,237.00,371.31,18.59,38.33,15.83,179.00,23.18,8.36,5.05,5.13,9,73403020;82104000;63219000;63201010;22601000;43108010;11810000;63123000;14201010,"The image shows the food category of a mixed breakfast plate. The visible ingredients include raspberries, blackberries, roasted sweet potatoes, a strip of cooked bacon, crumbled cottage cheese or ric",
dish_1565035858,MIA24,531.00,375.23,6.71,23.68,55.42,296.00,252.40,7.04,8.35,38.17,235.00,122.83,0.33,15.33,17.25,4,24123301;75214011;75122100;74101000,"The image shows the food category of a composed plate of cooked and fresh vegetables with lean protein. The visible ingredients include diced cooked chicken breast, steamed cauliflower florets, sliced",
dish_1565117429,MIA24,147.00,390.87,13.82,49.25,16.46,85.00,251.60,17.34,3.77,20.14,62.00,139.27,3.52,45.47,3.68,2,89901050;14107010,"The image shows the food category of a pizza dish. The visible ingredients include pizza dough, tomato sauce, and melted cheese. The cooking method appears to be baked. Additional details include thre",
dish_1565118700,MIA24,49.00,16.66,0.22,3.11,1.25,75.00,35.85,1.74,3.95,1.54,26.00,19.19,1.52,0.84,0.29,3,72104220;72119211;75208020,"The image shows the food category of a leafy vegetable dish. The visible ingredients include cooked leafy greens, possibly kale or spinach, and small pieces of a reddish-brown vegetable or root. The c",
dish_1565638599,MIA24,279.00,368.70,15.76,23.10,32.86,365.00,438.30,12.81,22.43,56.69,86.00,69.60,2.95,0.68,23.84,4,24123301;26158110;75202011;56204005,"The image shows the food category of a plated meal with a protein, vegetable, and grain side. The visible ingredients include green asparagus, a portion of cooked grains (likely bulgur or couscous) wi",
dish_1565711498,MIA24,229.00,246.83,15.96,10.57,16.58,190.00,239.80,17.19,9.84,13.82,39.00,7.03,1.23,0.73,2.76,3,75209021;32130010;82104000,The image shows the food category of a simple vegetable and egg dish. The visible ingredients include roasted or cooked Brussels sprouts and scrambled eggs. The cooking method appears to be roasting o,
dish_1565711570,MIA24,324.00,603.83,41.26,34.24,26.62,180.00,278.90,18.45,10.02,19.78,144.00,324.93,22.80,24.22,6.84,3,31105010;75209021;22601000,"The image shows the food category of a breakfast plate. The visible ingredients include scrambled eggs, cooked Brussels sprouts, crispy bacon strips, and a portion of hash browns. The cooking method a",
dish_1565811139,MIA24,416.00,902.20,62.63,9.06,74.73,175.00,177.80,11.00,8.27,10.77,241.00,724.40,51.63,0.79,63.96,5,72125100;73101010;72201100;14104700;82104000,"The image shows the food category of a salad. The visible ingredients include fresh spinach leaves, shredded carrots, broccoli florets, and crumbled white cheese (likely feta or a similar cheese). The",
dish_1565898331,MIA24,100.00,155.99,6.52,4.59,18.11,178.00,221.22,4.21,17.06,27.66,78.00,65.23,2.31,12.47,9.55,9,56205008;75111500;75117020;61204010;75109550;82104000;72125100;26158150;82104000,"The image shows the food category of a rice dish. The visible ingredients include cooked rice, spinach leaves, and a piece of fish. The cooking method appears to be cooked or steamed rice with possibl",
dish_1566501575,MIA24,54.00,251.69,15.55,26.89,3.35,475.00,732.95,25.14,36.64,84.59,421.00,481.26,9.59,9.75,81.25,7,24122130;56205008;99992405;24122130;82104000;74101000;73101010,"The image shows the food category of a mixed salad or rice bowl. The visible ingredients include shredded cooked chicken, cooked rice, cherry tomatoes, shredded carrots, almonds, and a piece of cooked",
dish_1566850031,MIA24,662.00,616.77,19.20,25.78,84.64,296.00,495.25,32.83,10.26,37.64,366.00,121.52,13.63,15.52,47.01,9,24123301;82104000;89902050;75117020;74101000;73101010;75117020;83102000;14108010,"The image shows the food category of a salad. The visible ingredients include chopped grilled chicken, grape tomatoes, shredded carrots, sliced red onions, and a dollop of creamy dressing or sauce. Th",
dish_1566850099,MIA24,112.00,113.06,10.69,4.14,1.53,110.00,50.90,1.84,6.82,2.06,2.00,62.16,8.85,2.68,0.53,6,75114000;73101010;72201223;82104000;82104000;64401000,"The image shows the food category of a salad. The visible ingredients include broccoli florets, leafy greens, shredded carrots, and some mixed salad leaves. The cooking method appears to be raw or lig",
dish_1566850142,MIA24,284.00,464.95,31.75,9.05,35.23,180.00,389.40,25.70,2.32,34.91,104.00,75.55,6.05,6.73,0.32,3,22002050;89902050;75103000,The image shows the food category of a mixed plate meal with a protein and a salad. The visible ingredients include shredded meat or pulled pork mixed with coleslaw (shredded cabbage and carrots) on o,
dish_1566851616,MIA24,248.00,300.78,11.60,36.14,14.51,343.00,751.58,40.13,64.56,33.88,95.00,450.80,28.53,28.41,19.37,8,58106234;14107010;74404010;75113000;51185000;83102000;72201211;82104000,"The image shows the food category of a mixed meal plate. The visible ingredients include a slice of cheese pizza, a portion of Caesar salad with lettuce and croutons, and a small serving of cooked bro",
dish_1566920339,MIA24,730.00,449.53,5.04,32.09,58.56,216.00,218.82,6.45,31.04,9.92,514.00,230.71,1.41,1.05,48.64,3,31108110;73403000;82104000,The image shows the food category of a vegetable side dish or simple meal plate. The visible ingredients include cooked cauliflower florets and chunks of cooked sweet potato with skin. The cooking met,
